,propertyName,amenitytype,amenity
0,Jackson Apartments,Unique Features,Bike Storage
1,Jackson Apartments,Unique Features,Co-Working Lounge
2,Jackson Apartments,Unique Features,Dog Wash
3,Jackson Apartments,Unique Features,Fitness Lounge
4,Jackson Apartments,Unique Features,Grill Deck
5,Jackson Apartments,Unique Features,Makers Space
6,Jackson Apartments,Unique Features,Music Lounge
7,Jackson Apartments,Unique Features,Skyline Lounge
8,Jackson Apartments,Unique Features,Social Lounge
9,Jackson Apartments,Unique Features,Storage
10,Jackson Apartments,Pet Policy,$50 Monthly Pet Rent
11,Jackson Apartments,Property Information,Built in 2020
12,Jackson Apartments,Property Information,532 Units/7 Stories
13,Jackson Apartments,Lease Length,None
14,Jackson Apartments,Fitness & Recreation,Fitness Center
15,Elan 41,Property Information,Built in 1987
16,Elan 41,Property Information,Renovated in Jul 2015
17,Elan 41,Property Information,78 Units/3 Stories
18,Elan 41,Services,Laundry Facilities
19,Elan 41,Services,Maintenance on site
20,Elan 41,Services,Pet Care
21,Elan 41,Services,Pet Play Area
22,Elan 41,Interior,Elevator
23,Elan 41,Interior,Business Center
24,Elan 41,Interior,Clubhouse
25,Elan 41,Interior,Lounge
26,Elan 41,Outdoor Space,Gated
27,Elan 41,Outdoor Space,Courtyard
28,Elan 41,Outdoor Space,Grill
29,Elan 41,Fitness & Recreation,Fitness Center
30,Elan 41,Fitness & Recreation,Bike Storage
31,Elan 41,Features,High Speed Internet Access
32,Elan 41,Features,Washer/Dryer - In Unit
33,Elan 41,Features,Air Conditioning
34,Elan 41,Features,Heating
35,Elan 41,Features,Ceiling Fans
36,Elan 41,Features,Smoke Free
37,Elan 41,Features,Cable Ready
38,Elan 41,Features,Tub/Shower
39,Elan 41,Kitchen,Dishwasher
40,Elan 41,Kitchen,Disposal
41,Elan 41,Kitchen,Eat-in Kitchen
42,Elan 41,Kitchen,Microwave
43,Elan 41,Kitchen,Range
44,Elan 41,Kitchen,Refrigerator
45,Elan 41,Living Space,Hardwood Floors
46,Elan 41,Living Space,Carpet
