,propertyName,amenitytype,amenity
0,LUNA,Unique Features,"•
*In Select Units"
1,LUNA,Unique Features,"•
24-7 Package Lockers"
2,LUNA,Unique Features,"•
Air-Conditioning Ports In Select Homes"
3,LUNA,Unique Features,"•
Ample Closet Space"
4,LUNA,Unique Features,"•
Ceiling Fans"
5,LUNA,Unique Features,"•
Conference Room"
6,LUNA,Unique Features,"•
Dog Run"
7,LUNA,Unique Features,"•
Gated Community"
8,LUNA,Unique Features,"•
Loft Style Floor Plans"
9,LUNA,Unique Features,"•
Media Center & Movie Theatre"
10,LUNA,Unique Features,"•
Onsite Bike Storage With Work Station"
11,LUNA,Unique Features,"•
Onsite Storage Lockers"
12,LUNA,Unique Features,"•
Resident Lounge"
13,LUNA,Unique Features,"•
Rooftop Deck with BBQ"
14,LUNA,Unique Features,"•
Stainless Steel Appliances"
15,LUNA,Unique Features,"•
Stone Countertops"
16,LUNA,Unique Features,"•
Washer & Dryer in Unit"
17,LUNA,Pet Policy,"•
$400 Deposit"
18,LUNA,Pet Policy,"•
$50 Monthly Pet Rent"
19,LUNA,Pet Policy,"•
2 Pet Limit"
20,LUNA,Property Information,"•
Built in 2020"
21,LUNA,Property Information,"•
108 Units/4 Stories"
22,LUNA,Lease Length,"9 months,12 months,13 months"
23,LUNA,Interior,"•
Clubhouse"
24,Elan 41,Property Information,"•
Built in 1987"
25,Elan 41,Property Information,"•
Renovated in Jul 2015"
26,Elan 41,Property Information,"•
78 Units/3 Stories"
27,Elan 41,Services,"•
Laundry Facilities"
28,Elan 41,Services,"•
Maintenance on site"
29,Elan 41,Services,"•
Pet Care"
30,Elan 41,Services,"•
Pet Play Area"
31,Elan 41,Interior,"•
Elevator"
32,Elan 41,Interior,"•
Business Center"
33,Elan 41,Interior,"•
Clubhouse"
34,Elan 41,Interior,"•
Lounge"
35,Elan 41,Outdoor Space,"•
Gated"
36,Elan 41,Outdoor Space,"•
Courtyard"
37,Elan 41,Outdoor Space,"•
Grill"
38,Elan 41,Fitness & Recreation,"•
Fitness Center"
39,Elan 41,Fitness & Recreation,"•
Bike Storage"
40,Elan 41,Features,"•
High Speed Internet Access"
41,Elan 41,Features,"•
Washer/Dryer - In Unit"
42,Elan 41,Features,"•
Air Conditioning"
43,Elan 41,Features,"•
Heating"
44,Elan 41,Features,"•
Ceiling Fans"
45,Elan 41,Features,"•
Smoke Free"
46,Elan 41,Features,"•
Cable Ready"
47,Elan 41,Features,"•
Tub/Shower"
48,Elan 41,Kitchen,"•
Dishwasher"
49,Elan 41,Kitchen,"•
Disposal"
50,Elan 41,Kitchen,"•
Eat-in Kitchen"
51,Elan 41,Kitchen,"•
Microwave"
52,Elan 41,Kitchen,"•
Range"
53,Elan 41,Kitchen,"•
Refrigerator"
54,Elan 41,Living Space,"•
Hardwood Floors"
55,Elan 41,Living Space,"•
Carpet"
56,Elan 41,Living Space,"•
Dining Room"
57,Elan 41,Living Space,"•
Views"
58,Elan 41,Living Space,"•
Walk-In Closets"
59,Elan 41,Living Space,"•
Loft Layout"
60,Elan 41,Security,"•
Package Service"
61,Elan 41,Security,"•
Controlled Access"
62,Elan 41,Security,"•
Property Manager on Site"
63,Jackson Apartments,Unique Features,"•
Bike Storage"
64,Jackson Apartments,Unique Features,"•
Co-Working Lounge"
65,Jackson Apartments,Unique Features,"•
Dog Wash"
66,Jackson Apartments,Unique Features,"•
Fitness Lounge"
67,Jackson Apartments,Unique Features,"•
Grill Deck"
68,Jackson Apartments,Unique Features,"•
Makers Space"
69,Jackson Apartments,Unique Features,"•
Music Lounge"
70,Jackson Apartments,Unique Features,"•
Skyline Lounge"
71,Jackson Apartments,Unique Features,"•
Social Lounge"
72,Jackson Apartments,Unique Features,"•
Storage"
73,Jackson Apartments,Pet Policy,"•
$50 Monthly Pet Rent"
74,Jackson Apartments,Property Information,"•
Built in 2020"
75,Jackson Apartments,Property Information,"•
532 Units/7 Stories"
76,Jackson Apartments,Lease Length,None
77,Jackson Apartments,Fitness & Recreation,"•
Fitness Center"
78,Circa Green Lake Apartments,Unique Features,"•
24-Hour Fitness Center"
79,Circa Green Lake Apartments,Unique Features,"•
2nd Floor"
80,Circa Green Lake Apartments,Unique Features,"•
3,500 sf Green Roof Top Deck with Grilling Station"
81,Circa Green Lake Apartments,Unique Features,"•
3rd Floor"
82,Circa Green Lake Apartments,Unique Features,"•
4th Floor"
83,Circa Green Lake Apartments,Unique Features,"•
ADA"
84,Circa Green Lake Apartments,Unique Features,"•
Bar Kitchen"
85,Circa Green Lake Apartments,Unique Features,"•
BBQ/Picnic Area"
86,Circa Green Lake Apartments,Unique Features,"•
Bike Racks"
87,Circa Green Lake Apartments,Unique Features,"•
Cable Ready"
88,Circa Green Lake Apartments,Unique Features,"•
Closed Bedroom"
89,Circa Green Lake Apartments,Unique Features,"•
Courtyard"
90,Circa Green Lake Apartments,Unique Features,"•
Den"
91,Circa Green Lake Apartments,Unique Features,"•
Dishwasher"
92,Circa Green Lake Apartments,Unique Features,"•
Dishwasher and Microwave"
93,Circa Green Lake Apartments,Unique Features,"•
Disposal"
94,Circa Green Lake Apartments,Unique Features,"•
Efficient Appliances"
95,Circa Green Lake Apartments,Unique Features,"•
Electronic Thermostat"
96,Circa Green Lake Apartments,Unique Features,"•
European Cabinetry With Nickel Accents"
97,Circa Green Lake Apartments,Unique Features,"•
Extra Storage"
98,Circa Green Lake Apartments,Unique Features,"•
Full Lk View"
99,Circa Green Lake Apartments,Unique Features,"•
Green Building"
100,Circa Green Lake Apartments,Unique Features,"•
Hardwood Floors"
101,Circa Green Lake Apartments,Unique Features,"•
High Ceilings"
102,Circa Green Lake Apartments,Unique Features,"•
Microwave"
103,Circa Green Lake Apartments,Unique Features,"•
Nook"
104,Circa Green Lake Apartments,Unique Features,"•
Oversized Window With Abundant Natural Light"
105,Circa Green Lake Apartments,Unique Features,"•
Partial Lk View"
106,Circa Green Lake Apartments,Unique Features,"•
Patio/Balcony"
107,Circa Green Lake Apartments,Unique Features,"•
Poor Location/Corner"
108,Circa Green Lake Apartments,Unique Features,"•
Quartz Countertops"
109,Circa Green Lake Apartments,Unique Features,"•
Recycling"
110,Circa Green Lake Apartments,Unique Features,"•
Refrigerator"
111,Circa Green Lake Apartments,Unique Features,"•
Reserved Parking"
112,Circa Green Lake Apartments,Unique Features,"•
Spacious Floorplans With Ample Closets"
113,Circa Green Lake Apartments,Unique Features,"•
Street Side"
114,Circa Green Lake Apartments,Unique Features,"•
Sundeck Seating and BBQ"
115,Circa Green Lake Apartments,Unique Features,"•
Views of Green Lake and Park"
116,Circa Green Lake Apartments,Unique Features,"•
Walk In Closet"
117,Circa Green Lake Apartments,Unique Features,"•
Washer/Dryer"
118,Circa Green Lake Apartments,Unique Features,"•
Wheelchair Access"
119,Circa Green Lake Apartments,Unique Features,"•
Window Coverings"
120,Circa Green Lake Apartments,Pet Policy,"•
$45 Monthly Pet Rent"
121,Circa Green Lake Apartments,Pet Policy,"•
75 lb Weight Limit"
122,Circa Green Lake Apartments,Pet Policy,"•
2 Pet Limit"
123,Circa Green Lake Apartments,Property Information,"•
Built in 2009"
124,Circa Green Lake Apartments,Property Information,"•
199 Units/4 Stories"
125,Circa Green Lake Apartments,Lease Length,"6, 7, 8, 9, 10, 11, 12"
126,Circa Green Lake Apartments,Services,"•
Maintenance on site"
127,Circa Green Lake Apartments,Services,"•
On-Site Retail"
128,Circa Green Lake Apartments,Services,"•
Recycling"
129,Circa Green Lake Apartments,Services,"•
Renters Insurance Program"
130,Circa Green Lake Apartments,Services,"•
Online Services"
131,Circa Green Lake Apartments,Services,"•
Composting"
132,Circa Green Lake Apartments,Services,"•
Planned Social Activities"
133,Circa Green Lake Apartments,Services,"•
Public Transportation"
134,Circa Green Lake Apartments,Interior,"•
Elevator"
135,Circa Green Lake Apartments,Interior,"•
Business Center"
136,Circa Green Lake Apartments,Interior,"•
Clubhouse"
137,Circa Green Lake Apartments,Interior,"•
Lounge"
138,Circa Green Lake Apartments,Interior,"•
Multi Use Room"
139,Circa Green Lake Apartments,Interior,"•
Storage Space"
