neighborhood,amenity
Alki,21
Arbor Heights,18
Atlantic,15163
Ballard,34913
Beacon Hill,83
Belltown,73268
Bitter Lake,5149
Briarcliff,1
Brighton,57618
Broadview,628
Bryant,27
Bryn Mawr-Skyway,1206
Capitol Hill,46346
Central Seattle,798
Chinatown,3330
Columbia City,4499
Crown Hill,879
Denny Triangle,77556
Downtown Seattle,13746
Dunlap,642
Eastlake,3049
Fairmount Park,5582
First Hill,158485
Fremont,44812
Gatewood,2
Genesee,40144
Georgetown,5
Green Lake,38413
Greenwood,5441
Haller Lake,34
Harrison/Denny Blaine,3
High Point,2717
Highland Park,5472
Highline,4729
Interbay,3578
Junction,17456
Lake City,33570
Lake Union,1980
Lawton Park,2083
Leschi,11
Lower Queen Anne,54353
Loyal Heights,1760
Madison Park,9
Magnolia,12
Mann,1300
Maple Leaf,28720
Minor,12176
Mt Baker,23
North Admiral,4188
North Beach/ Blue Ridge,1
North Beacon Hill,19152
North College Park,2214
North Delridge,4735
Phinney Ridge,13
Pike Place Market,9153
Pinehurst,472
Pioneer Square,7254
Portage Bay,482
Queen Anne,2348
Rainier Beach,14
Ravenna,245
Renton,108
Riverview,28
Roosevelt,40131
Roxhill,1108
Seatac,979
Seattle,42789
Seaview Seattle,1
Seward Park,24
Sheridan Beach,1488
Shoreline,208
South Delridge,3383
South Lake Union,135062
South Park,3
Southern Heights-Boulevard Park,6543
Stevens,3726
Tukwila Urban Center,14740
University District,18348
Wallingford,10431
Wedgewood,57427
West Seattle,2423
West Woodland,435
Westlake,9627
White Center,205
Whittier Heights,1337
