,propertyName,room,costRange
0,Jackson Apartments,Studio ,1790
1,Jackson Apartments,1 Bedroom ,2060
2,Jackson Apartments,2 Bedrooms ,3185
3,Jackson Apartments,3 Bedrooms ,3375
4,Elan 41,1 Bedroom ,1829
5,Elan 41,2 Bedrooms ,1899
6,Circa Green Lake Apartments,Studio ,1577
7,Circa Green Lake Apartments,1 Bedroom ,1865
8,Circa Green Lake Apartments,2 Bedrooms ,3048
9,LUNA,1 Bedroom ,1600
10,Tower 12,Studio ,2513
11,Tower 12,1 Bedroom ,2647
12,Tower 12,2 Bedrooms ,4089
13,Common Summit,Studio ,1050
14,Harbor Steps,Studio ,1593
15,Harbor Steps,1 Bedroom ,1959
16,Harbor Steps,2 Bedrooms ,2964
17,Ballard 57 Apartments,Studio ,1340
18,Ballard 57 Apartments,1 Bedroom ,1750
19,Fox & Finch Apartments,1 Bedroom ,2000
20,Tellus on Dexter Apartments,1 Bedroom ,2700
21,Tellus on Dexter Apartments,2 Bedrooms ,3750
22,Lane,Studio ,1525
23,Lane,1 Bedroom ,1740
24,Lane,2 Bedrooms ,2700
25,Overlook at Magnolia,1 Bedroom ,1575
26,Overlook at Magnolia,2 Bedrooms ,2345
27,Overlook at Magnolia,3 Bedrooms,0
28,Overlook at Magnolia,4 Bedrooms,0
29,Met Tower,Studio ,1995
30,Met Tower,1 Bedroom ,2995
31,Met Tower,2 Bedrooms ,3545
32,Met Tower,3 Bedrooms,0
33,Olympus,Studio ,1568
34,Olympus,1 Bedroom ,2026
35,Olympus,2 Bedrooms ,2827
36,Olympus,3 Bedrooms,0
37,The Olivian,1 Bedroom ,3435
38,The Olivian,2 Bedrooms ,3945
39,Leilani Apartment Homes,Studio ,1350
40,Leilani Apartment Homes,1 Bedroom ,1460
41,Leilani Apartment Homes,2 Bedrooms ,2110
42,Airmark Apartments,Studio ,1313
43,Airmark Apartments,1 Bedroom ,1775
44,Airmark Apartments,2 Bedrooms ,2510
45,Airmark Apartments,3 Bedrooms ,6615
46,Assembly118,Studio,0
47,Assembly118,1 Bedroom ,1563
48,Assembly118,2 Bedrooms ,2951
49,Helm,1 Bedroom ,2650
50,Helm,2 Bedrooms ,4450
51,Helm,3 Bedrooms ,12500
52,Mera,1 Bedroom ,2450
53,Mera,2 Bedrooms ,3600
54,Mera,3 Bedrooms ,8450
55,Origin Apartments,Studio ,1480
56,Origin Apartments,1 Bedroom ,1581
57,Origin Apartments,2 Bedrooms ,2195
58,Chloe on Union,Studio ,1855
59,Chloe on Union,1 Bedroom,0
60,Chloe on Union,2 Bedrooms ,2973
61,Griffis Belltown,Studio ,2087
62,Griffis Belltown,1 Bedroom ,2042
63,Griffis Belltown,2 Bedrooms ,2383
64,Charbern Apartments,Studio ,1504
65,Charbern Apartments,1 Bedroom,0
66,Charbern Apartments,2 Bedrooms,0
67,AMLI South Lake Union,Studio ,1859
68,AMLI South Lake Union,1 Bedroom ,2054
69,AMLI South Lake Union,2 Bedrooms ,2946
70,ArtHouse,Studio ,1636
71,ArtHouse,1 Bedroom ,1951
72,ArtHouse,2 Bedrooms,0
73,AMLI Mark24,Studio ,1841
74,AMLI Mark24,1 Bedroom ,1892
75,AMLI Mark24,2 Bedrooms ,2944
76,The Station At Othello Park,Studio ,1361
77,The Station At Othello Park,1 Bedroom ,1566
78,The Station At Othello Park,2 Bedrooms,0
79,Elara At The Market,Studio,0
80,Elara At The Market,1 Bedroom ,1965
81,Elara At The Market,2 Bedrooms,0
82,Pike Motorworks,Studio ,1720
83,Pike Motorworks,1 Bedroom ,2195
84,Pike Motorworks,2 Bedrooms ,3702
85,Via 6,Studio ,1913
86,Via 6,1 Bedroom ,1822
87,Via 6,2 Bedrooms ,2940
88,Cascade,Studio ,1795
89,Cascade,1 Bedroom ,2020
90,Cascade,2 Bedrooms ,3575
91,Park South,1 Bedroom ,1412
92,Park South,2 Bedrooms ,1549
93,Spruce,Studio ,1490
94,Spruce,1 Bedroom ,1590
95,Spruce,2 Bedrooms ,2295
96,Mark on 8th,Studio ,1900
97,Mark on 8th,1 Bedroom ,2160
98,Mark on 8th,2 Bedrooms ,3060
99,The Mill at First Hill,Studio ,1514
100,The Mill at First Hill,1 Bedroom ,1689
101,The Mill at First Hill,2 Bedrooms ,2170
102,Lofts at the Junction,Studio ,1300
103,Centennial Tower and Court,Studio ,1509
104,Centennial Tower and Court,1 Bedroom ,1943
105,Centennial Tower and Court,2 Bedrooms ,2755
106,Centennial Tower and Court,3 Bedrooms,0
107,Helios,Studio ,1940
108,Helios,1 Bedroom ,2225
109,Helios,2 Bedrooms ,3845
110,Saxton,Studio,0
111,Saxton,1 Bedroom ,1865
112,Saxton,2 Bedrooms ,2545
113,Odin,Studio,0
114,Odin,1 Bedroom ,1708
115,Odin,2 Bedrooms,0
116,Vive,Studio ,1420
117,Vive,1 Bedroom ,1810
118,Bogtown Flats,1 Bedroom ,1600
119,Bogtown Flats,2 Bedrooms ,2405
120,Westlake Steps,1 Bedroom ,1720
121,Westlake Steps,2 Bedrooms ,3160
122,AMLI Arc,Studio ,2304
123,AMLI Arc,1 Bedroom ,2580
124,AMLI Arc,2 Bedrooms ,3700
125,AMLI Arc,3 Bedrooms ,5698
126,JUXT,Studio ,1890
127,JUXT,1 Bedroom ,1885
128,JUXT,2 Bedrooms ,3155
129,JUXT,3 Bedrooms ,4060
130,CityLine,Studio ,1872
131,CityLine,1 Bedroom ,2128
132,CityLine,2 Bedrooms ,2599
133,Lightbox,Studio ,1447
134,Lightbox,1 Bedroom ,1684
135,Lightbox,2 Bedrooms ,2049
136,One Lakefront,1 Bedroom ,1845
137,One Lakefront,2 Bedrooms ,2985
138,One Lakefront,3 Bedrooms,0
139,Rivet Apartments,1 Bedroom ,1965
140,Rivet Apartments,2 Bedrooms ,2998
141,The Kennedy Building,Studio,0
142,The Kennedy Building,1 Bedroom ,1692
143,The Kennedy Building,2 Bedrooms ,2318
144,Infinity Apartments,Studio ,1957
145,Infinity Apartments,1 Bedroom ,2360
146,Infinity Apartments,2 Bedrooms ,3530
147,Bowman,Studio,0
148,Bowman,1 Bedroom ,1761
149,Bowman,2 Bedrooms ,3122
150,Sitka,Studio ,1929
151,Sitka,1 Bedroom ,2227
152,Sitka,2 Bedrooms ,3399
153,Ascent South Lake Union,1 Bedroom ,2400
154,Ascent South Lake Union,2 Bedrooms ,3206
155,Ascent South Lake Union,3 Bedrooms ,8490
156,Marlowe,Studio ,2079
157,Marlowe,1 Bedroom ,2348
158,Marlowe,2 Bedrooms ,3587
159,McKenzie,Studio ,2097
160,McKenzie,1 Bedroom ,2622
161,McKenzie,2 Bedrooms ,3604
162,McKenzie,3 Bedrooms ,8336
163,624 Yale,Studio ,1700
164,624 Yale,1 Bedroom ,1950
165,624 Yale,2 Bedrooms ,3150
166,STAZIONE25,Studio ,1800
167,STAZIONE25,1 Bedroom ,1628
168,STAZIONE25,2 Bedrooms ,3000
169,St. James Tower,Studio,0
170,St. James Tower,1 Bedroom ,1795
171,St. James Tower,2 Bedrooms ,2360
172,Cadence,1 Bedroom ,1849
173,Cadence,2 Bedrooms,0
174,Alexan 100,Studio ,1790
175,Alexan 100,1 Bedroom ,2287
176,Alexan 100,2 Bedrooms ,3495
177,Alexan 100,3 Bedrooms,0
178,Vida Seattle,Studio ,1717
179,Vida Seattle,1 Bedroom ,1940
180,Vida Seattle,2 Bedrooms ,3102
181,Sedona Apartments,Studio ,846
182,Sedona Apartments,1 Bedroom ,2322
183,Sedona Apartments,2 Bedrooms,0
184,Kiara,Studio ,2260
185,Kiara,1 Bedroom ,2250
186,Kiara,2 Bedrooms ,3885
187,Kiara,3 Bedrooms ,9765
188,Broadstone Sky,1 Bedroom ,1660
189,Broadstone Sky,2 Bedrooms ,2735
190,Overlook at Westridge,Studio,0
191,Overlook at Westridge,1 Bedroom ,1764
192,Overlook at Westridge,2 Bedrooms ,1899
193,Overlook at Westridge,3 Bedrooms ,2451
194,Batik,Studio,0
195,Batik,1 Bedroom ,2030
196,Batik,2 Bedrooms ,2940
197,Malloy,Studio ,1368
198,Malloy,1 Bedroom ,1889
199,Premiere on Pine,Studio ,1905
200,Premiere on Pine,1 Bedroom ,2015
201,Premiere on Pine,2 Bedrooms ,3200
202,Premiere on Pine,3 Bedrooms ,6065
203,Garden Pointe,1 Bedroom ,1525
204,Garden Pointe,2 Bedrooms ,1695
205,HANA Apartments,1 Bedroom ,1320
206,HANA Apartments,2 Bedrooms ,1936
207,Sorento Flats,Studio ,995
208,Rise on 67th,Studio ,1045
209,Derby South Lake Union,Studio ,1300
210,Oakwood Residence Seattle South Lake Union,Studio ,1699
211,Oakwood Residence Seattle South Lake Union,1 Bedroom ,2000
212,Novo Seattle,Studio ,1050
213,Maude Urban Living,Studio ,999
214,Common Madison,Studio ,1000
215,Chroma SLU,1 Bedroom ,1905
216,Chroma SLU,2 Bedrooms ,2955
217,Kinects Tower,Studio ,1755
218,Kinects Tower,1 Bedroom ,2815
219,Kinects Tower,2 Bedrooms ,4065
220,Arrive,Studio ,2095
221,Arrive,1 Bedroom ,2895
222,Arrive,2 Bedrooms ,4120
223,Verve Apartments,Studio ,1640
224,Verve Apartments,1 Bedroom ,1985
225,Verve Apartments,2 Bedrooms ,2561
226,Thornton Place,Studio ,1940
227,Thornton Place,1 Bedroom ,1612
228,Thornton Place,2 Bedrooms ,2018
229,Vertex Off Broadway,Studio ,1559
230,Vertex Off Broadway,1 Bedroom ,2050
231,Vertex Off Broadway,2 Bedrooms ,3185
232,Excelsior,Studio ,1660
233,Excelsior,1 Bedroom ,1840
234,Excelsior,2 Bedrooms ,3105
235,Excelsior,3 Bedrooms ,3950
236,Leeward,Studio ,2105
237,Leeward,1 Bedroom ,1730
238,Leeward,2 Bedrooms ,3045
239,The Shelby,Studio ,1515
240,The Shelby,1 Bedroom ,2060
241,The Shelby,2 Bedrooms ,2560
242,Koi,Studio ,1617
243,Koi,1 Bedroom ,2538
244,Koi,2 Bedrooms ,2959
245,Alto Apartments,1 Bedroom ,1399
246,Alto Apartments,2 Bedrooms ,2624
247,206 Bell,Studio ,1294
248,206 Bell,1 Bedroom ,1504
249,206 Bell,2 Bedrooms ,2658
250,East Howe Steps,Studio ,1544
251,East Howe Steps,1 Bedroom ,1705
252,East Howe Steps,2 Bedrooms ,2787
253,The Post,Studio ,1513
254,The Post,1 Bedroom ,1743
255,The Post,2 Bedrooms ,3155
256,The Wilcox,Studio ,1562
257,The Wilcox,1 Bedroom ,1680
258,The Wilcox,2 Bedrooms ,2716
259,The Wilcox,3 Bedrooms ,3070
260,Aura West Seattle,Studio ,1460
261,Aura West Seattle,1 Bedroom ,1715
262,Aura West Seattle,2 Bedrooms ,1907
263,Stack House,Studio ,1954
264,Stack House,1 Bedroom ,2335
265,Stack House,2 Bedrooms ,3461
266,Stack House,3 Bedrooms ,4259
267,Ballard on the Park,Studio ,1610
268,Ballard on the Park,1 Bedroom ,2018
269,Ballard on the Park,2 Bedrooms ,2822
270,Summit At Madison Park,Studio ,1597
271,Summit At Madison Park,1 Bedroom ,1850
272,Summit At Madison Park,2 Bedrooms ,2510
273,Summit At Madison Park,3 Bedrooms ,3440
274,Element 42,Studio ,1409
275,Element 42,1 Bedroom ,1385
276,The Loop,Studio ,1500
277,The Loop,1 Bedroom ,1925
278,3030 Lake City,Studio ,1299
279,3030 Lake City,1 Bedroom ,1499
280,3030 Lake City,2 Bedrooms,0
281,Westhaven Apartments,1 Bedroom ,1379
282,Westhaven Apartments,2 Bedrooms ,1714
283,Westhaven Apartments,3 Bedrooms,0
284,Wilsonian,Studio ,1509
285,Wilsonian,1 Bedroom ,1789
286,The M,Studio ,1950
287,The M,2 Beds ,1685
288,The M,4 Beds ,1425
289,Square One,Studio,0
290,Square One,1 Bedroom,0
291,Square One,2 Bedrooms ,2219
292,Rollin Street,1 Bedroom ,2275
293,Rollin Street,2 Bedrooms ,3995
294,100 on 6th,Studio ,995
295,100 on 6th,1 Bedroom ,1245
296,Packard Building,Studio ,2101
297,Packard Building,1 Bedroom,0
298,Marq 211,Studio ,1544
299,Marq 211,1 Bedroom ,1707
300,Marq 211,2 Bedrooms ,2710
301,The Redwood Apartments,Studio ,1050
302,Vantage Park Apartments,1 Bedroom,0
303,Vantage Park Apartments,2 Bedrooms ,2390
304,Union Bay,Studio ,1610
305,Union Bay,1 Bedroom ,1875
306,Union Bay,2 Bedrooms ,2759
307,2900 On First,Studio ,1780
308,2900 On First,1 Bedroom ,1974
309,2900 On First,2 Bedrooms ,2840
310,Harrison Square,Studio ,1452
311,Harrison Square,1 Bedroom ,1933
312,Harrison Square,2 Bedrooms ,2886
313,Lighthouse Apartments,1 Bedroom ,1645
314,Lighthouse Apartments,2 Bedrooms ,1905
315,Taylor 28,Studio ,1734
316,Taylor 28,1 Bedroom ,2209
317,Taylor 28,2 Bedrooms ,3141
318,Metro on First,Studio ,1632
319,Metro on First,1 Bedroom ,1877
320,Metro on First,2 Bedrooms ,3763
321,Aspira Apartments,Studio,0
322,Aspira Apartments,1 Bedroom ,1938
323,Aspira Apartments,2 Bedrooms ,3183
324,LEVA On Market,Studio ,1708
325,LEVA On Market,1 Bedroom ,1850
326,LEVA On Market,2 Bedrooms ,2977
327,Adell Apartments,1 Bedroom ,1583
328,Augusta Apartments,1 Bedroom ,2095
329,Augusta Apartments,2 Bedrooms ,2910
330,Augusta Apartments,3 Bedrooms ,4225
331,Cielo,Studio ,1560
332,Cielo,1 Bedroom ,1645
333,Cielo,2 Bedrooms ,2520
334,Axle,1 Bedroom ,1678
335,Axle,2 Bedrooms ,2715
336,AMLI Wallingford,Studio ,2009
337,AMLI Wallingford,1 Bedroom ,2010
338,AMLI Wallingford,2 Bedrooms ,2929
339,AMLI Wallingford,3 Bedrooms ,4820
340,Seventh and James,Studio,0
341,Seventh and James,1 Bedroom ,1777
342,Seventh and James,2 Bedrooms ,2309
343,John Winthrop Apartments,Studio ,1405
344,John Winthrop Apartments,1 Bedroom,0
345,2300 Elliott,Studio ,1771
346,2300 Elliott,1 Bedroom ,1894
347,2300 Elliott,2 Bedrooms ,2343
348,Urbana,Studio ,1740
349,Urbana,1 Bedroom ,1739
350,Urbana,2 Bedrooms ,2651
351,Youngstown Flats,Studio ,1470
352,Youngstown Flats,1 Bedroom ,1395
353,Youngstown Flats,2 Bedrooms ,2148
354,Panorama Apartments,1 Bedroom ,2035
355,Panorama Apartments,2 Bedrooms ,3310
356,Panorama Apartments,3 Bedrooms ,4875
357,Coppins Well,Studio ,1640
358,Coppins Well,1 Bedroom ,2050
359,Coppins Well,2 Bedrooms ,2980
360,Washington Terrace Senior Affordable Apart...,1 Bedroom ,1309
361,Washington Terrace Senior Affordable Apart...,2 Bedrooms ,1562
362,Slate Apartments,Studio ,1468
363,Slate Apartments,1 Bedroom ,1330
364,Slate Apartments,2 Bedrooms ,1816
365,The Enclave,Studio ,1295
366,The Enclave,1 Bedroom ,1448
367,The Enclave,2 Bedrooms,0
368,The Eden Apartments,1 Bedroom,0
369,The Eden Apartments,2 Bedrooms ,2600
370,Haller Post,1 Bedroom ,1744
371,Haller Post,2 Bedrooms ,2010
372,Skye at Belltown,Studio ,1381
373,Skye at Belltown,1 Bedroom ,2163
374,Skye at Belltown,2 Bedrooms ,2549
375,Springline,Studio,0
376,Springline,1 Bedroom ,1513
377,Springline,2 Bedrooms ,1970
378,The Heights on Capitol Hill,Studio ,1652
379,The Heights on Capitol Hill,1 Bedroom,0
380,The Heights on Capitol Hill,2 Bedrooms ,2775
381,Rianna,Studio ,1385
382,Rianna,1 Bedroom ,1785
383,Rianna,2 Bedrooms ,2577
384,Rianna,3 Bedrooms,0
385,Uwajimaya Village,Studio,0
386,Uwajimaya Village,1 Bedroom ,1985
387,Uwajimaya Village,2 Bedrooms,0
388,The Pearl,Studio,0
389,The Pearl,1 Bedroom ,1980
390,Anthem on 12th,Studio ,1557
391,Anthem on 12th,1 Bedroom ,1772
392,Anthem on 12th,2 Bedrooms ,2615
393,Marq West Seattle,Studio ,1513
394,Marq West Seattle,1 Bedroom ,1602
395,Marq West Seattle,2 Bedrooms ,2195
396,Alcyone,Studio,0
