,propertyName,room,costRange
0,LUNA,1 Bedroom ,"1,600 - 2,428"
1,Elan 41,1 Bedroom ,"1,729 - 1,899"
2,Elan 41,2 Bedrooms ,"1,899 - 1,999"
3,Jackson Apartments,Studio ,"1,790 - 1,920"
4,Jackson Apartments,1 Bedroom ,"2,060 - 3,143"
5,Jackson Apartments,2 Bedrooms ,"3,185 - 3,745"
6,Jackson Apartments,3 Bedrooms ,"3,375 - 3,615"
7,Circa Green Lake Apartments,Studio ,"1,577 - 3,330"
8,Circa Green Lake Apartments,1 Bedroom ,"1,865 - 3,954"
9,Circa Green Lake Apartments,2 Bedrooms ,"3,048 - 5,496"
10,Tower 12,Studio ,"2,513 - 2,633"
11,Tower 12,1 Bedroom ,"2,647 - 3,869"
12,Tower 12,2 Bedrooms ,"4,089 - 11,035"
13,Common Summit,Studio ,"1,050 - 1,800 / Person"
14,The Mill at First Hill,Studio ,"1,514 - 4,304"
15,The Mill at First Hill,1 Bedroom ,"1,689 - 5,077"
16,The Mill at First Hill,2 Bedrooms ,"2,170 - 7,700"
17,AMLI Arc,Studio ,"2,304 - 3,335"
18,AMLI Arc,1 Bedroom ,"2,580 - 4,859"
19,AMLI Arc,2 Bedrooms ,"3,700 - 8,576"
20,AMLI Arc,3 Bedrooms ,"5,698 - 6,941"
21,HANA Apartments,Studio ,"1,225"
22,HANA Apartments,1 Bedroom ,"1,320 - 1,620"
23,HANA Apartments,2 Bedrooms ,"1,936"
24,The Olivian,1 Bedroom ,"3,497 - 4,790"
25,The Olivian,2 Bedrooms ,"3,945 - 6,812"
26,AMLI South Lake Union,Studio ,"1,859 - 4,785"
27,AMLI South Lake Union,1 Bedroom ,"2,054 - 6,441"
28,AMLI South Lake Union,2 Bedrooms ,"2,946 - 5,458"
29,AMLI Mark24,Studio ,"1,841 - 2,610"
30,AMLI Mark24,1 Bedroom ,"1,892 - 3,813"
31,AMLI Mark24,2 Bedrooms ,"2,944 - 5,015"
32,McKenzie,Studio ,"2,097"
33,McKenzie,1 Bedroom ,"2,622 - 3,662"
34,McKenzie,2 Bedrooms ,"3,604 - 8,832"
35,McKenzie,3 Bedrooms ,"8,336 - 15,160"
36,CityLine,Studio ,"1,872 - 5,948"
37,CityLine,1 Bedroom ,"2,128 - 6,695"
38,CityLine,2 Bedrooms ,"2,599 - 8,073"
39,The Kennedy Building,C,a
40,The Kennedy Building,1 Bedroom ,"1,794 - 4,109"
41,The Kennedy Building,2 Bedrooms ,"2,318 - 7,310"
42,Lightbox,Studio ,"1,507 - 3,915"
43,Lightbox,1 Bedroom ,"1,684 - 4,376"
44,Lightbox,2 Bedrooms ,"2,049 - 10,306"
45,Sorento Flats,Studio ,"995 - 1,400"
46,Rise on 67th,Studio ,"1,045 - 1,975"
47,Olympus,Studio ,"1,603 - 1,968"
48,Olympus,1 Bedroom ,"2,091 - 2,877"
49,Olympus,2 Bedrooms ,"2,822 - 3,735"
50,Olympus,C,a
51,Centennial Tower and Court,Studio ,"1,504 - 2,167"
52,Centennial Tower and Court,1 Bedroom ,"1,938 - 2,640"
53,Centennial Tower and Court,2 Bedrooms ,"2,695 - 3,279"
54,Centennial Tower and Court,C,a
55,Cascade,Studio ,"1,805 - 1,985"
56,Cascade,1 Bedroom ,"2,090 - 2,670"
57,Cascade,2 Bedrooms ,"3,635"
58,Harbor Steps,Studio ,"1,603 - 2,126"
59,Harbor Steps,1 Bedroom ,"1,964 - 2,748"
60,Harbor Steps,2 Bedrooms ,"2,974 - 4,829"
61,Saxton,C,a
62,Saxton,1 Bedroom ,"1,865 - 2,750"
63,Saxton,2 Bedrooms ,"2,545 - 3,255"
64,Via 6,Studio ,"1,913 - 2,338"
65,Via 6,1 Bedroom ,"1,822 - 2,856"
66,Via 6,2 Bedrooms ,"2,927 - 3,444"
67,Helm,1 Bedroom ,"2,650 - 3,810"
68,Helm,2 Bedrooms ,"4,450 - 10,150"
69,Helm,3 Bedrooms ,"12,500"
70,Mera,1 Bedroom ,"2,450 - 4,610"
71,Mera,2 Bedrooms ,"3,600 - 9,825"
72,Mera,3 Bedrooms ,"8,450 - 10,275"
73,Novo Seattle,Studio ,"1,050 - 1,475"
74,Maude Urban Living,Studio ,"999 - 1,450"
75,Derby South Lake Union,Studio ,"1,300 - 1,805"
76,Griffis Belltown,Studio ,"2,080"
77,Griffis Belltown,1 Bedroom ,"1,948 - 2,356"
78,Griffis Belltown,2 Bedrooms ,"2,491 - 2,960"
79,Tellus on Dexter Apartments,Studio ,"2,200 - 2,450"
80,Tellus on Dexter Apartments,1 Bedroom ,"2,000 - 2,750"
81,Tellus on Dexter Apartments,2 Bedrooms ,"3,400 - 3,775"
82,Sitka,Studio ,"1,929 - 2,768"
83,Sitka,1 Bedroom ,"2,227 - 3,334"
84,Sitka,2 Bedrooms ,"3,399 - 5,749"
85,Ascent South Lake Union,1 Bedroom ,"2,400 - 3,462"
86,Ascent South Lake Union,2 Bedrooms ,"3,206 - 8,903"
87,Ascent South Lake Union,3 Bedrooms ,"8,490"
88,Marlowe,Studio ,"2,079 - 3,645"
89,Marlowe,1 Bedroom ,"2,348 - 3,539"
90,Marlowe,2 Bedrooms ,"3,463 - 4,442"
91,Spruce,Studio ,"1,490 - 1,521"
92,Spruce,1 Bedroom ,"1,590 - 2,384"
93,Spruce,2 Bedrooms ,"2,295 - 3,415"
94,Helios,Studio ,"1,955 - 2,040"
95,Helios,1 Bedroom ,"2,230 - 4,050"
96,Helios,2 Bedrooms ,"3,855 - 5,490"
97,Park South,1 Bedroom ,"1,412 - 1,599"
