,propertyName,bedRoomType,bedRoomNumber,baths,rent,sqft,availability,deposit,unit,leaseLength,name,new,applyNow
0,Jackson Apartments,Studio,1,1.0,1790.0,465.0,True,,,,S.2.W,,
1,Jackson Apartments,Studio,1,1.0,1905.0,475.0,True,,,,S.1.E,,
2,Jackson Apartments,Studio,1,1.0,1920.0,570.0,True,,,,S.3.S,,
3,Jackson Apartments,Traditional,1,1.0,2060.0,509.0,True,,,,0.18.W,,
4,Jackson Apartments,Traditional,1,1.0,2070.0,657.0,True,,,,0.17.W,,
5,Jackson Apartments,Traditional,1,1.0,2075.0,596.0,True,,,,0.4.E,,
6,Jackson Apartments,Traditional,1,1.0,2075.0,597.0,True,,,,0.1.2,,
7,Jackson Apartments,Traditional,1,1.0,2075.0,598.0,True,,,,0.6.W,,
8,Jackson Apartments,Traditional,1,1.0,2075.0,620.0,True,,,,0.9.W,,
9,Jackson Apartments,Traditional,1,1.0,2075.0,629.0,True,,,,0.20.S,,
10,Jackson Apartments,Traditional,1,1.0,2090.0,565.0,True,,,,0.19.W,,
11,Jackson Apartments,Traditional,1,1.0,2095.0,646.0,True,,,,0.3.E,,
12,Jackson Apartments,Traditional,1,1.0,2105.0,589.0,True,,,,0.8.W,,
13,Jackson Apartments,Traditional,1,1.0,2105.0,615.0,True,,,,0.1,,
14,Jackson Apartments,Traditional,1,1.0,2115.0,603.0,True,,,,0.1.3,,
15,Jackson Apartments,Traditional,1,1.0,2115.0,652.0,True,,,,0.7.W,,
16,Jackson Apartments,Traditional,1,1.0,2115.0,695.0,True,,,,0.15.W,,
17,Jackson Apartments,Traditional,1,1.0,2120.0,698.0,True,,,,0.10.W,,
18,Jackson Apartments,Traditional,1,1.0,2120.0,701.0,True,,,,0.1.4,,
19,Jackson Apartments,Traditional,1,1.0,2125.0,747.0,True,,,,0.24S,,
20,Jackson Apartments,Traditional,1,1.0,2140.0,655.0,True,,,,0.12.W,,
21,Jackson Apartments,Traditional,1,1.0,2190.0,682.0,True,,,,1.29.S,,
22,Jackson Apartments,Traditional,1,1.0,2195.0,528.0,True,,,,1.23.W,,
23,Jackson Apartments,Traditional,1,1.0,2200.0,606.0,True,,,,1.13.W,,
24,Jackson Apartments,Traditional,1,1.0,2200.0,643.0,True,,,,1.4.E,,
25,Jackson Apartments,Traditional,1,1.0,2210.0,531.0,True,,,,1.25.W,,
26,Jackson Apartments,Traditional,1,1.0,2210.0,653.0,True,,,,1.24.W,,
27,Jackson Apartments,Traditional,1,1.0,2210.0,657.0,True,,,,1.6.E,,
28,Jackson Apartments,Traditional,1,1.0,2215.0,646.0,True,,,,1.21.W,,
29,Jackson Apartments,Traditional,1,1.0,2215.0,646.0,True,,,,1.22.W,,
30,Jackson Apartments,Traditional,1,1.0,2215.0,684.0,True,,,,1.27.S,,
31,Jackson Apartments,Traditional,1,1.0,2220.0,674.0,True,,,,1.11.E,,
32,Jackson Apartments,Traditional,1,1.0,2220.0,693.0,True,,,,1.19.W,,
33,Jackson Apartments,Traditional,1,1.0,2220.0,704.0,True,,,,0.14.W,,
34,Jackson Apartments,Traditional,1,1.0,2230.0,677.0,True,,,,1.2,,
35,Jackson Apartments,Traditional,1,1.0,2235.0,525.0,True,,,,1.8.E,,
36,Jackson Apartments,Traditional,1,1.0,2250.0,756.0,True,,,,1.17.W,,
37,Jackson Apartments,Traditional,1,1.0,2255.0,705.0,True,,,,1.14.W,,
38,Jackson Apartments,Traditional,1,1.0,2260.0,618.0,True,,,,0.13.W,,
39,Jackson Apartments,Traditional,1,1.0,2265.0,699.0,True,,,,1.1,,
40,Jackson Apartments,Traditional,1,1.0,2265.0,710.0,True,,,,1.3.E,,
41,Jackson Apartments,Traditional,1,1.0,2270.0,671.0,True,,,,1.12.W,,
42,Jackson Apartments,Traditional,1,1.0,2275.0,691.0,True,,,,1.7.E,,
43,Jackson Apartments,Traditional,1,1.0,2275.0,717.0,True,,,,1.26.S,,
44,Jackson Apartments,Traditional,1,1.0,2315.0,530.0,True,,,,0.11.W,,
45,Jackson Apartments,Traditional,1,1.0,2320.0,767.0,True,,,,1.1.4,,
46,Jackson Apartments,Traditional,1,1.0,2330.0,664.0,True,,,,1.9.E,,
47,Jackson Apartments,Traditional,1,1.0,2335.0,758.0,True,,,,1.1.6,,
48,Jackson Apartments,Traditional,1,1.0,2345.0,804.0,True,,,,1P.5.W,,
49,Jackson Apartments,Traditional,1,1.0,2355.0,763.0,True,,,,1.1.5,,
50,Jackson Apartments,Traditional,1,1.0,2355.0,775.0,True,,,,1.1.2,,
51,Jackson Apartments,Traditional,1,1.0,2395.0,786.0,True,,,,1P.4.W,,
52,Jackson Apartments,Traditional,1,1.0,2410.0,817.0,True,,,,1.15,,
53,Jackson Apartments,Traditional,1,1.0,2415.0,684.0,True,,,,1.20.W,,
54,Jackson Apartments,Traditional,1,1.0,2415.0,724.0,True,,,,1P.7.W,,
55,Jackson Apartments,Traditional,1,1.0,2415.0,709.0,True,,,,1P.8.S,,
56,Jackson Apartments,Traditional,1,1.0,2430.0,531.0,True,,,,1.18.W,,
57,Jackson Apartments,Traditional,1,1.0,2450.0,843.0,True,,,,1P.1.W,,
58,Jackson Apartments,Traditional,1,1.0,2470.0,831.0,True,,,,1.5.E,,
59,Jackson Apartments,Traditional,1,1.0,2510.0,676.0,True,,,,1.1.3,,
60,Jackson Apartments,Traditional,1,2.0,2520.0,863.0,True,,,,1P.2.W,,
61,Jackson Apartments,Traditional,1,1.0,2540.0,676.0,True,,,,1.16.W,,
62,Jackson Apartments,Traditional,1,1.0,2700.0,901.0,True,,,,1P.6.W,,
63,Jackson Apartments,Traditional,1,2.0,3143.0,1051.0,True,,,,1P.10,,
64,Jackson Apartments,Traditional,2,2.0,3185.0,883.0,True,,,,2.5.W,,
65,Jackson Apartments,Traditional,2,2.0,3215.0,957.0,True,,,,2.8.W,,
66,Jackson Apartments,Traditional,2,2.0,3225.0,952.0,True,,,,2.10.W,,
67,Jackson Apartments,Traditional,2,2.0,3230.0,976.0,True,,,,2.3.E,,
68,Jackson Apartments,Traditional,2,2.0,3235.0,955.0,True,,,,2.1.E,,
69,Jackson Apartments,Traditional,2,2.0,3275.0,882.0,True,,,,2.2.E,,
70,Jackson Apartments,Traditional,2,2.0,3400.0,1083.0,True,,,,2.4.W,,
71,Jackson Apartments,Traditional,2,2.0,3415.0,1062.0,True,,,,2.14.W,,
72,Jackson Apartments,Traditional,2,2.0,3415.0,981.0,True,,,,2.7.W,,
73,Jackson Apartments,Traditional,2,2.0,3455.0,943.0,True,,,,2.6.W,,
74,Jackson Apartments,Traditional,2,2.0,3460.0,969.0,True,,,,2.13.W,,
75,Jackson Apartments,Traditional,2,2.5,3495.0,1065.0,True,,,,TH2.2,,
76,Jackson Apartments,Traditional,2,2.5,3495.0,1040.0,True,,,,TH2.3,,
77,Jackson Apartments,Traditional,2,2.0,3525.0,1180.0,True,,,,2.11.W,,
78,Jackson Apartments,Traditional,2,2.5,3640.0,1242.0,True,,,,TH1.2,,
79,Jackson Apartments,Traditional,2,2.5,3695.0,1318.0,True,,,,TH1.3,,
80,Jackson Apartments,Traditional,2,2.5,3745.0,1304.0,True,,,,TH1,,
81,Jackson Apartments,Traditional,3,2.0,3375.0,1100.0,True,,,,3.3.W,,
82,Jackson Apartments,Traditional,3,2.0,3585.0,1147.0,True,,,,3.1.W,,
83,Jackson Apartments,Traditional,3,2.0,3615.0,1213.0,True,,,,3.2.W,,
84,Jackson Apartments,Traditional,1,1.0,2505.0,650.0,False,,,,1.10.E,,
85,Jackson Apartments,Traditional,1,2.0,2600.0,1048.0,False,,,,1P.9S,,
86,Jackson Apartments,Traditional,1,1.0,2750.0,903.0,False,,,,1P.3.W,,
87,Jackson Apartments,Traditional,2,2.0,3535.0,1061.0,False,,,,2.12.W,,
88,Jackson Apartments,Traditional,2,2.0,3635.0,1127.0,False,,,,2.9.W,,
89,Elan 41,Traditional,2,1.0,1899.0,975.0,True,,,,Fox,,
90,Elan 41,Traditional,2,1.0,1899.0,975.0,True,,207,,Fox,,
91,Elan 41,Traditional,2,1.0,1899.0,975.0,True,,209,,Fox,,
92,Elan 41,Traditional,1,1.0,1899.0,775.0,False,,,,Camano,,
93,Elan 41,Traditional,1,1.0,1899.0,775.0,False,,225,,Camano,,
94,Elan 41,Traditional,1,1.0,1829.0,795.0,False,,,,Orcas,,
95,Elan 41,Traditional,1,1.0,1869.0,795.0,False,,203,,Orcas,,
96,Elan 41,Traditional,1,1.0,1869.0,760.0,False,,,,Blake,,
97,Elan 41,Traditional,1,1.0,1869.0,760.0,False,,134,,Blake,,
98,Elan 41,Traditional,1,1.0,1829.0,795.0,False,,117,,Orcas,,
99,Elan 41,Traditional,2,1.0,1999.0,975.0,False,,107,,Fox,,
100,Elan 41,Traditional,1,1.0,1869.0,760.0,False,,130,,Blake,,
101,Elan 41,Traditional,2,1.0,2503.0,1000.0,False,,,,San Juan,New,
102,Elan 41,Traditional,2,1.0,2503.0,1000.0,False,,202,,San Juan,New,
103,Elan 41,Traditional,1,1.0,1899.0,775.0,False,,235,,Camano,,
104,Elan 41,Traditional,1,1.0,1899.0,950.0,False,,,,Blake ADA,,
105,Elan 41,Traditional,1,1.0,1899.0,950.0,False,,119,,Blake ADA,,
106,Elan 41,Traditional,2,2.0,,1065.0,False,,,,Whidbey Loft,,
107,Elan 41,Traditional,2,2.0,,1000.0,False,,,,Bainbridge Loft,,
108,Elan 41,Traditional,2,1.0,,1000.0,False,,,,Maury ADA,,
109,Circa Green Lake Apartments,Studio,1,1.0,1577.0,532.5,True,,,,Studio,,
110,Circa Green Lake Apartments,Studio,1,1.0,1593.0,560.0,True,,0415,,Studio,,
111,Circa Green Lake Apartments,Studio,1,1.0,1663.0,560.0,True,,0412,,Studio,,
112,Circa Green Lake Apartments,Studio,1,1.0,1766.0,642.0,True,,,,Live/Work,,
113,Circa Green Lake Apartments,Studio,1,1.0,1766.0,692.0,True,,0126,,Live/Work,,
114,Circa Green Lake Apartments,Traditional,1,1.0,1865.0,677.0,True,,,,Open 1 bedroom,,
115,Circa Green Lake Apartments,Traditional,1,1.0,1865.0,599.0,True,,0231,,Open 1 bedroom,,
116,Circa Green Lake Apartments,Traditional,1,1.0,1895.0,633.0,True,,0434,,Open 1 bedroom,,
117,Circa Green Lake Apartments,Traditional,1,1.0,1895.0,633.0,True,,0436,,Open 1 bedroom,,
118,Circa Green Lake Apartments,Traditional,1,1.0,2085.0,726.5,True,,,,1 bedroom,,
119,Circa Green Lake Apartments,Traditional,1,1.0,2110.0,613.0,True,,0318,,1 bedroom,,
120,Circa Green Lake Apartments,Traditional,1,1.0,2135.0,613.0,True,,0417,,1 bedroom,,
