,propertyName,beds,baths,rent,sqft,availability,deposit,unit,leaseLength,name,new,applyNow
0,LUNA,1 Bed,1 Bath,"$1,933",487 Sq Ft,Available Now,,,,S-2,,
1,LUNA,1 Bed,1 Bath,"$1,944",516 Sq Ft,Available Now,,,,S-3,,
2,LUNA,1 Bed,1 Bath,"$1,948",602 - 633 Sq Ft,Available Now,,,,U1B-2,,
3,LUNA,1 Bed,1 Bath,"$2,019",538 - 578 Sq Ft,Available Now,,,,S-1,,
4,LUNA,1 Bed,1 Bath,"$2,080",651 Sq Ft,Available Now,,,,U1B-4,,
5,LUNA,1 Bed,1 Bath,"$2,218",700 - 750 Sq Ft,Available Now,,,,1B-2,,
6,LUNA,1 Bed,1 Bath,"$2,219",714 - 760 Sq Ft,Available Now,,,,U1B-1,,
7,LUNA,1 Bed,1 Bath,"$2,333",692 Sq Ft,Available Now,,,,1B-7,,
8,LUNA,1 Bed,1 Bath,"$2,341",716 - 765 Sq Ft,Available Now,,,,1B-1,,
9,LUNA,1 Bed,1 Bath,"$2,375",705 - 743 Sq Ft,Available Now,,,,1B-5,,
10,LUNA,1 Bed,1 Bath,"$2,396",724 Sq Ft,Available Now,,,,U1B-3,,
11,LUNA,1 Bed,1 Bath,"$2,428",732 - 763 Sq Ft,Available Now,,,,1B-3,,
12,LUNA,1 Bed,1 Bath,"$1,600",607 Sq Ft,Not Available,,,,1B-6,,
13,Elan 41,2 BRs,1 Bath,"$1,899 - 1,999","950 - 1,000 Sq Ft",Available Now,,,,Fox,,
14,Elan 41,2 BRs,1 Bath,"$1,899","950 - 1,000 Sq Ft",Available Now,,207,,Fox,,
15,Elan 41,2 BRs,1 Bath,"$1,899","950 - 1,000 Sq Ft",Available Now,,209,,Fox,,
16,Elan 41,1 Bed,1 Bath,"$1,729 - 1,869",795 Sq Ft,May 29,,,,Orcas,,
17,Elan 41,1 Bed,1 Bath,"$1,729",795 Sq Ft,May 29,,317,,Orcas,,
18,Elan 41,1 Bed,1 Bath,"$1,899",775 Sq Ft,Jun 7,,,,Camano,,
19,Elan 41,1 Bed,1 Bath,"$1,899",775 Sq Ft,Jun 7,,225,,Camano,,
20,Elan 41,1 Bed,1 Bath,"$1,869",795 Sq Ft,Jun 12,,203,,Orcas,,
21,Elan 41,1 Bed,1 Bath,"$1,869",760 Sq Ft,Jun 12,,,,Blake,,
22,Elan 41,1 Bed,1 Bath,"$1,869",760 Sq Ft,Jun 12,,134,,Blake,,
23,Elan 41,1 Bed,1 Bath,"$1,829",795 Sq Ft,Jun 13,,117,,Orcas,,
24,Elan 41,2 BRs,1 Bath,"$1,999","950 - 1,000 Sq Ft",Jun 13,,107,,Fox,,
25,Elan 41,1 Bed,1 Bath,"$1,869",760 Sq Ft,Jun 16,,130,,Blake,,
26,Elan 41,1 Bed,1 Bath,"$1,899",775 Sq Ft,Jun 26,,235,,Camano,,
27,Elan 41,1 Bed,1 Bath,"$1,899",950 Sq Ft,Jul 13,,,,Blake ADA,,
28,Elan 41,1 Bed,1 Bath,"$1,899",950 Sq Ft,Jul 13,,119,,Blake ADA,,
29,Elan 41,2 BRs,2 Baths,Call for Rent,"1,065 Sq Ft",Not Available,,,,Whidbey Loft,,
30,Elan 41,2 BRs,1 Bath,Call for Rent,"1,000 Sq Ft",Not Available,,,,San Juan,,
31,Elan 41,2 BRs,2 Baths,Call for Rent,"1,000 Sq Ft",Not Available,,,,Bainbridge Loft,,
32,Elan 41,2 BRs,1 Bath,Call for Rent,"1,000 Sq Ft",Not Available,,,,Maury ADA,,
33,Jackson Apartments,Studio,1 Bath,"$1,790",465 Sq Ft,Available Now,,,,S.2.W,,
34,Jackson Apartments,Studio,1 Bath,"$1,905",475 Sq Ft,Available Now,,,,S.1.E,,
35,Jackson Apartments,Studio,1 Bath,"$1,920",570 Sq Ft,Available Now,,,,S.3.S,,
36,Jackson Apartments,1 Bed,1 Bath,"$2,060",509 Sq Ft,Available Now,,,,0.18.W,,
37,Jackson Apartments,1 Bed,1 Bath,"$2,070",657 Sq Ft,Available Now,,,,0.17.W,,
38,Jackson Apartments,1 Bed,1 Bath,"$2,075",596 Sq Ft,Available Now,,,,0.4.E,,
39,Jackson Apartments,1 Bed,1 Bath,"$2,075",597 Sq Ft,Available Now,,,,0.1.2,,
40,Jackson Apartments,1 Bed,1 Bath,"$2,075",598 Sq Ft,Available Now,,,,0.6.W,,
41,Jackson Apartments,1 Bed,1 Bath,"$2,075",620 Sq Ft,Available Now,,,,0.9.W,,
42,Jackson Apartments,1 Bed,1 Bath,"$2,075",629 Sq Ft,Available Now,,,,0.20.S,,
43,Jackson Apartments,1 Bed,1 Bath,"$2,090",565 Sq Ft,Available Now,,,,0.19.W,,
44,Jackson Apartments,1 Bed,1 Bath,"$2,095",646 Sq Ft,Available Now,,,,0.3.E,,
45,Jackson Apartments,1 Bed,1 Bath,"$2,105",589 Sq Ft,Available Now,,,,0.8.W,,
46,Jackson Apartments,1 Bed,1 Bath,"$2,105",615 Sq Ft,Available Now,,,,0.1,,
47,Jackson Apartments,1 Bed,1 Bath,"$2,115",603 Sq Ft,Available Now,,,,0.1.3,,
48,Jackson Apartments,1 Bed,1 Bath,"$2,115",652 Sq Ft,Available Now,,,,0.7.W,,
49,Jackson Apartments,1 Bed,1 Bath,"$2,115",695 Sq Ft,Available Now,,,,0.15.W,,
50,Jackson Apartments,1 Bed,1 Bath,"$2,120",698 Sq Ft,Available Now,,,,0.10.W,,
51,Jackson Apartments,1 Bed,1 Bath,"$2,120",701 Sq Ft,Available Now,,,,0.1.4,,
52,Jackson Apartments,1 Bed,1 Bath,"$2,125",747 Sq Ft,Available Now,,,,0.24S,,
53,Jackson Apartments,1 Bed,1 Bath,"$2,140",655 Sq Ft,Available Now,,,,0.12.W,,
54,Jackson Apartments,1 Bed,1 Bath,"$2,190",682 Sq Ft,Available Now,,,,1.29.S,,
55,Jackson Apartments,1 Bed,1 Bath,"$2,195",528 Sq Ft,Available Now,,,,1.23.W,,
56,Jackson Apartments,1 Bed,1 Bath,"$2,200",606 Sq Ft,Available Now,,,,1.13.W,,
57,Jackson Apartments,1 Bed,1 Bath,"$2,200",643 Sq Ft,Available Now,,,,1.4.E,,
58,Jackson Apartments,1 Bed,1 Bath,"$2,210",531 Sq Ft,Available Now,,,,1.25.W,,
59,Jackson Apartments,1 Bed,1 Bath,"$2,210",653 Sq Ft,Available Now,,,,1.24.W,,
60,Jackson Apartments,1 Bed,1 Bath,"$2,210",657 Sq Ft,Available Now,,,,1.6.E,,
61,Jackson Apartments,1 Bed,1 Bath,"$2,215",646 Sq Ft,Available Now,,,,1.21.W,,
62,Jackson Apartments,1 Bed,1 Bath,"$2,215",646 Sq Ft,Available Now,,,,1.22.W,,
63,Jackson Apartments,1 Bed,1 Bath,"$2,215",684 Sq Ft,Available Now,,,,1.27.S,,
64,Jackson Apartments,1 Bed,1 Bath,"$2,220",674 Sq Ft,Available Now,,,,1.11.E,,
65,Jackson Apartments,1 Bed,1 Bath,"$2,220",693 Sq Ft,Available Now,,,,1.19.W,,
66,Jackson Apartments,1 Bed,1 Bath,"$2,220",704 Sq Ft,Available Now,,,,0.14.W,,
67,Jackson Apartments,1 Bed,1 Bath,"$2,230",677 Sq Ft,Available Now,,,,1.2,,
68,Jackson Apartments,1 Bed,1 Bath,"$2,235",525 Sq Ft,Available Now,,,,1.8.E,,
69,Jackson Apartments,1 Bed,1 Bath,"$2,250",756 Sq Ft,Available Now,,,,1.17.W,,
70,Jackson Apartments,1 Bed,1 Bath,"$2,255",705 Sq Ft,Available Now,,,,1.14.W,,
71,Jackson Apartments,1 Bed,1 Bath,"$2,260",618 Sq Ft,Available Now,,,,0.13.W,,
72,Jackson Apartments,1 Bed,1 Bath,"$2,265",699 Sq Ft,Available Now,,,,1.1,,
73,Jackson Apartments,1 Bed,1 Bath,"$2,265",710 Sq Ft,Available Now,,,,1.3.E,,
74,Jackson Apartments,1 Bed,1 Bath,"$2,270",671 Sq Ft,Available Now,,,,1.12.W,,
75,Jackson Apartments,1 Bed,1 Bath,"$2,275",691 Sq Ft,Available Now,,,,1.7.E,,
76,Jackson Apartments,1 Bed,1 Bath,"$2,275",717 Sq Ft,Available Now,,,,1.26.S,,
77,Jackson Apartments,1 Bed,1 Bath,"$2,315",530 Sq Ft,Available Now,,,,0.11.W,,
78,Jackson Apartments,1 Bed,1 Bath,"$2,320",767 Sq Ft,Available Now,,,,1.1.4,,
79,Jackson Apartments,1 Bed,1 Bath,"$2,330",664 Sq Ft,Available Now,,,,1.9.E,,
80,Jackson Apartments,1 Bed,1 Bath,"$2,335",758 Sq Ft,Available Now,,,,1.1.6,,
81,Jackson Apartments,1 Bed,1 Bath,"$2,345",804 Sq Ft,Available Now,,,,1P.5.W,,
82,Jackson Apartments,1 Bed,1 Bath,"$2,355",763 Sq Ft,Available Now,,,,1.1.5,,
83,Jackson Apartments,1 Bed,1 Bath,"$2,355",775 Sq Ft,Available Now,,,,1.1.2,,
84,Jackson Apartments,1 Bed,1 Bath,"$2,395",786 Sq Ft,Available Now,,,,1P.4.W,,
85,Jackson Apartments,1 Bed,1 Bath,"$2,410",817 Sq Ft,Available Now,,,,1.15,,
86,Jackson Apartments,1 Bed,1 Bath,"$2,415",684 Sq Ft,Available Now,,,,1.20.W,,
87,Jackson Apartments,1 Bed,1 Bath,"$2,415",724 Sq Ft,Available Now,,,,1P.7.W,,
88,Jackson Apartments,1 Bed,1 Bath,"$2,415",709 Sq Ft,Available Now,,,,1P.8.S,,
89,Jackson Apartments,1 Bed,1 Bath,"$2,430",531 Sq Ft,Available Now,,,,1.18.W,,
90,Jackson Apartments,1 Bed,1 Bath,"$2,450",843 Sq Ft,Available Now,,,,1P.1.W,,
91,Jackson Apartments,1 Bed,1 Bath,"$2,470",831 Sq Ft,Available Now,,,,1.5.E,,
92,Jackson Apartments,1 Bed,1 Bath,"$2,510",676 Sq Ft,Available Now,,,,1.1.3,,
93,Jackson Apartments,1 Bed,2 Baths,"$2,520",863 Sq Ft,Available Now,,,,1P.2.W,,
94,Jackson Apartments,1 Bed,1 Bath,"$2,540",676 Sq Ft,Available Now,,,,1.16.W,,
95,Jackson Apartments,1 Bed,1 Bath,"$2,700",901 Sq Ft,Available Now,,,,1P.6.W,,
96,Jackson Apartments,1 Bed,2 Baths,"$3,143","1,051 Sq Ft",Available Now,,,,1P.10,,
97,Jackson Apartments,2 BRs,2 Baths,"$3,185",883 Sq Ft,Available Now,,,,2.5.W,,
98,Jackson Apartments,2 BRs,2 Baths,"$3,215",957 Sq Ft,Available Now,,,,2.8.W,,
99,Jackson Apartments,2 BRs,2 Baths,"$3,225",952 Sq Ft,Available Now,,,,2.10.W,,
100,Jackson Apartments,2 BRs,2 Baths,"$3,230",976 Sq Ft,Available Now,,,,2.3.E,,
101,Jackson Apartments,2 BRs,2 Baths,"$3,235",955 Sq Ft,Available Now,,,,2.1.E,,
102,Jackson Apartments,2 BRs,2 Baths,"$3,275",882 Sq Ft,Available Now,,,,2.2.E,,
103,Jackson Apartments,2 BRs,2 Baths,"$3,400","1,083 Sq Ft",Available Now,,,,2.4.W,,
104,Jackson Apartments,2 BRs,2 Baths,"$3,415","1,062 Sq Ft",Available Now,,,,2.14.W,,
105,Jackson Apartments,2 BRs,2 Baths,"$3,415",981 Sq Ft,Available Now,,,,2.7.W,,
106,Jackson Apartments,2 BRs,2 Baths,"$3,455",943 Sq Ft,Available Now,,,,2.6.W,,
107,Jackson Apartments,2 BRs,2 Baths,"$3,460",969 Sq Ft,Available Now,,,,2.13.W,,
