neighborhood,zipCode,bedRoomNumber,baths,Unnamed: 0_x,reviewScore,reviewCount,walkScore,transitScore,Unnamed: 0_y,rent,sqft,availability,deposit,leaseLength
Alki,98116,1,1.0,581.5,,,50.0,34.5,9886.5,1847.5,789.0,1.0,1700.0,12.0
Alki,98116,2,1.0,531.6666666666666,,,46.666666666666664,36.0,9688.666666666666,2731.6666666666665,1123.0,1.0,1125.0,12.0
Arbor Heights,98146,1,1.0,411.0,,,22.0,37.0,9192.0,1500.0,1000.0,1.0,1000.0,6.0
Arbor Heights,98146,2,2.0,677.0,,,10.0,37.0,10149.0,2554.0,1290.0,1.0,,
Arbor Heights,98146,3,1.0,630.0,,,40.0,45.0,9887.0,2295.0,1120.0,,2295.0,
Atlantic,98114,1,1.0,348.0,5.0,,92.0,89.0,8517.0,1695.0,500.0,,,
Atlantic,98144,1,1.0,332.85207100591714,,2.361111111111111,89.76767676767676,70.44444444444444,4701.35593220339,2188.79298245614,666.8148148148148,1.0,1428.0,12.0
Atlantic,98144,1,2.0,362.0,,,90.0,70.0,4370.333333333333,2754.3333333333335,987.3333333333334,1.0,,
Atlantic,98144,2,1.0,182.0,,2.0,91.0,72.0,6010.666666666667,2500.0,965.0,,,
Atlantic,98144,2,1.5,518.0,,,89.0,67.0,9618.0,3000.0,1180.0,1.0,3000.0,12.0
Atlantic,98144,2,2.0,291.89130434782606,,2.2777777777777777,90.37837837837837,70.89189189189189,4778.72972972973,3252.492307692308,1021.7567567567568,1.0,,
Atlantic,98144,2,2.5,362.0,,,90.0,70.0,4378.6,3614.0,1193.8,1.0,,
Atlantic,98144,3,2.0,362.0,,,90.0,70.0,4383.0,3525.0,1153.3333333333333,1.0,,
Atlantic,98144,3,2.5,553.3333333333334,,,87.0,78.66666666666667,9658.333333333334,3805.6666666666665,1590.3333333333333,1.0,2000.0,6.5
Atlantic,98144,3,3.0,425.0,,,84.0,75.0,9250.0,4500.0,1770.0,,2000.0,12.0
Atlantic,98144,3,3.5,614.0,,,76.0,63.0,9871.0,4572.0,1600.0,,1000.0,1.0
Ballard,98103,1,1.0,177.0,,23.0,93.0,54.0,5924.8,1767.0,543.8571428571429,1.0,,
Ballard,98103,2,1.0,177.0,,23.0,93.0,54.0,5935.0,,794.0,,,
Ballard,98103,2,2.0,177.0,,23.0,93.0,54.0,5931.25,2468.0,883.75,,,
Ballard,98107,1,1.0,179.07945205479453,4.73469387755102,3.2142857142857144,95.4986301369863,54.673972602739724,4794.005479452055,2018.6780303030303,642.4561643835616,1.0,1300.0,12.0
Ballard,98107,1,1.5,110.0,,4.5,94.66666666666667,56.5,3864.4166666666665,2585.0,864.9166666666666,,,
Ballard,98107,2,1.0,249.64285714285714,4.0,4.5,92.21428571428571,53.92857142857143,5668.785714285715,2885.0,853.25,1.0,2250.0,12.0
Ballard,98107,2,1.5,212.0,,4.0,85.0,46.0,6347.0,3234.0,972.75,,,
Ballard,98107,2,2.0,140.01492537313433,5.0,3.4,96.17910447761194,54.850746268656714,4265.805970149254,3119.657894736842,1043.2537313432836,1.0,,
Ballard,98107,2,2.5,88.0,,5.0,94.0,57.0,3339.0,,1111.0,,,
Ballard,98107,3,1.0,603.0,,,92.0,58.0,9860.0,2400.0,800.0,1.0,,
Ballard,98107,3,2.0,93.0,,10.0,98.0,55.0,3474.5,3070.0,1175.0,,,
Ballard,98107,3,3.0,480.0,,,94.0,53.0,9536.0,4200.0,1380.0,,4200.0,
Ballard,98107,3,3.5,612.0,,,89.0,53.0,9869.0,4122.0,1670.0,,1000.0,
Ballard,98117,1,1.0,498.0,,,91.0,47.0,9560.0,1535.0,700.0,1.0,1000.0,12.0
Beacon Hill,98108,1,1.0,451.0,5.0,,57.5,53.0,9102.5,1345.0,478.0,1.0,1195.0,12.0
Beacon Hill,98108,2,2.0,333.0,5.0,,73.0,54.0,8448.0,1950.0,989.0,1.0,,
Beacon Hill,98108,3,2.0,640.0,,,50.0,56.0,9917.0,3172.5,1800.0,1.0,1000.0,
Belltown,98121,1,1.0,189.72313527180785,4.805369127516778,6.800940438871473,97.96333754740834,99.3590391908976,5135.704171934261,2080.776595744681,624.6675191815857,1.0,1122.5,9.0
Belltown,98121,1,2.0,219.5,,3.0,99.0,100.0,6541.0,,927.0,,,
Belltown,98121,2,1.0,143.8148148148148,4.222222222222222,11.511111111111111,98.57407407407408,99.74074074074075,4687.944444444444,2864.114285714286,800.8148148148148,1.0,,
Belltown,98121,2,1.5,112.0,,150.0,96.0,93.0,3861.0,,875.0,,,
Belltown,98121,2,2.0,217.25806451612902,4.885714285714286,3.223529411764706,97.5241935483871,98.79032258064517,5564.548387096775,3914.753846153846,1103.3064516129032,1.0,2000.0,12.0
