neighborhood,zipCode,bedRoomNumber,Unnamed: 0_x,reviewScore,reviewCount,walkScore,transitScore,Unnamed: 0_y,baths,rent,sqft,availability,deposit,leaseLength
Alki,98116,1,581.5,,,50.0,34.5,9886.5,1.0,1847.5,789.0,1.0,1700.0,12.0
Alki,98116,2,531.6666666666666,,,46.666666666666664,36.0,9688.666666666666,1.0,2731.6666666666665,1123.0,1.0,1125.0,12.0
Arbor Heights,98146,1,411.0,,,22.0,37.0,9192.0,1.0,1500.0,1000.0,1.0,1000.0,6.0
Arbor Heights,98146,2,677.0,,,10.0,37.0,10149.0,2.0,2554.0,1290.0,1.0,,
Arbor Heights,98146,3,630.0,,,40.0,45.0,9887.0,1.0,2295.0,1120.0,,2295.0,
Atlantic,98114,1,348.0,5.0,,92.0,89.0,8517.0,1.0,1695.0,500.0,,,
Atlantic,98144,1,333.8514285714286,,2.361111111111111,89.77669902912622,70.42718446601941,4688.4169381107495,1.0388349514563107,2211.6430976430975,679.2621359223301,1.0,1428.0,12.0
Atlantic,98144,2,301.85,,2.238095238095238,90.3061224489796,70.70408163265306,4784.163265306122,2.066326530612245,3314.681818181818,1057.6907216494844,1.0,3000.0,12.0
Atlantic,98144,3,442.8181818181818,,,88.29411764705883,71.41176470588235,5923.058823529412,2.235294117647059,3693.470588235294,1293.0,1.0,1750.0,6.5
Ballard,98103,1,177.0,,23.0,93.0,54.0,5924.8,1.0,1767.0,543.8571428571429,1.0,,
Ballard,98103,2,177.0,,23.0,93.0,54.0,5932.5,1.6666666666666667,2468.0,853.8333333333334,,,
Ballard,98107,1,176.88063660477454,4.73469387755102,3.2697841726618706,95.47214854111405,54.73209549071618,4764.416445623342,1.0159151193633953,2022.936090225564,649.5371352785146,1.0,1300.0,12.0
Ballard,98107,2,160.6046511627907,4.636363636363637,3.5753424657534247,94.98837209302326,54.31395348837209,4580.220930232558,1.819767441860465,3089.574468085106,1009.8313953488372,1.0,2250.0,12.0
Ballard,98107,3,376.2,,10.0,94.2,54.8,7242.8,2.3,3372.4,1240.0,1.0,2600.0,
Ballard,98117,1,498.0,,,91.0,47.0,9560.0,1.0,1535.0,700.0,1.0,1000.0,12.0
Beacon Hill,98108,1,451.0,5.0,,57.5,53.0,9102.5,1.0,1345.0,478.0,1.0,1195.0,12.0
Beacon Hill,98108,2,333.0,5.0,,73.0,54.0,8448.0,2.0,1950.0,989.0,1.0,,
Beacon Hill,98108,3,640.0,,,50.0,56.0,9917.0,2.0,3172.5,1800.0,1.0,1000.0,
Belltown,98121,1,189.7982345523329,4.805369127516778,6.7890625,97.96595208070617,99.36065573770492,5139.24842370744,1.0025220680958387,2080.776595744681,625.4387755102041,1.0,1122.5,9.0
Belltown,98121,2,193.75135135135136,4.75,6.963503649635037,97.87027027027027,99.07567567567567,5305.918918918919,1.7216216216216216,3655.221153846154,1043.8216216216217,1.0,2000.0,12.0
Belltown,98121,3,186.33333333333334,,4.333333333333333,97.13333333333334,97.66666666666667,3983.5333333333333,2.2,5315.0,1618.7333333333333,1.0,,
Bitter Lake,98133,1,292.34615384615387,4.464285714285714,1.5454545454545454,73.51923076923077,52.17307692307692,7682.615384615385,1.0480769230769231,1362.4,633.4615384615385,1.0,900.0,
Bitter Lake,98133,2,338.7142857142857,4.363636363636363,1.5454545454545454,74.57142857142857,52.42857142857143,7980.821428571428,1.4107142857142858,1767.7083333333333,912.9642857142857,1.0,1190.0,
Bitter Lake,98133,3,219.0,,1.0,79.0,52.0,6531.4,2.0,2267.8,1081.8,1.0,,
Briarcliff,98199,5,723.0,,,72.0,36.0,10503.0,3.5,5395.0,2950.0,1.0,,
Brighton,98118,1,246.2103448275862,5.0,24.0,84.49655172413793,65.96551724137932,5160.010344827586,1.0206896551724138,1685.3831168831168,664.8206896551724,1.0,750.0,12.0
Brighton,98118,2,252.6969696969697,5.0,24.0,84.13636363636364,65.89393939393939,5282.045454545455,1.9090909090909092,2778.3571428571427,1019.6363636363636,1.0,750.0,12.0
Broadview,98133,1,379.25,4.0,,63.75,50.0,8445.5,1.0,1595.0,653.25,1.0,1595.0,
Broadview,98133,2,308.9,4.0,3.0,62.2,50.0,8189.2,2.0,1968.111111111111,942.65,1.0,,
