neighborhood,zipCode,Unnamed: 0_x,reviewScore,reviewCount,walkScore,transitScore,Unnamed: 0_y,bedRoomNumber,baths,rent,sqft,availability,deposit,leaseLength
Alki,98116,551.6,0.0,0.0,48.0,35.4,9767.8,1.6,1.0,2378.0,989.4,0.4,790.0,7.2
Arbor Heights,98146,572.6666666666666,0.0,0.0,24.0,39.666666666666664,9742.666666666666,2.0,1.3333333333333333,2116.3333333333335,1136.6666666666667,0.6666666666666666,1098.3333333333333,2.0
Atlantic,98114,348.0,5.0,0.0,92.0,89.0,8517.0,1.0,1.0,1695.0,500.0,0.0,0.0,0.0
Atlantic,98144,191.99528301886792,0.0,0.3113207547169811,89.83962264150944,70.53066037735849,4737.933962264151,1.3113207547169812,1.3242924528301887,2385.2334905660377,788.8419811320755,0.8419811320754716,40.424528301886795,0.23113207547169812
Ballard,98103,177.0,0.0,23.0,93.0,54.0,5927.0,1.2857142857142858,1.1904761904761905,824.047619047619,606.5238095238095,0.19047619047619047,0.0,0.0
Ballard,98107,176.01923076923077,1.1004273504273505,2.5427350427350426,95.36965811965813,54.6559829059829,4757.047008547009,1.205128205128205,1.1773504273504274,1496.0961538461538,722.0534188034188,0.29273504273504275,18.696581196581196,0.07692307692307693
Ballard,98117,498.0,0.0,0.0,91.0,47.0,9560.0,1.0,1.0,1535.0,700.0,1.0,1000.0,12.0
Beacon Hill,98108,503.0,2.0,0.0,57.6,54.4,9297.4,2.0,1.6,2197.0,1109.0,0.6,439.0,2.4
Belltown,98121,190.4823766364552,0.9315206445115811,5.38872104733132,97.93554884189325,99.28197381671701,5152.841893252769,1.216515609264854,1.1545820745216515,1591.4159113796577,712.7210473313193,0.38872104733131924,4.2749244712990935,0.030211480362537766
Bitter Lake,98133,303.3058823529412,2.0352941176470587,0.6588235294117647,74.18823529411765,52.247058823529414,7713.129411764706,1.4470588235294117,1.223529411764706,1433.929411764706,751.9058823529411,0.5176470588235295,91.17647058823529,0.0
Briarcliff,98199,723.0,0.0,0.0,72.0,36.0,10503.0,5.0,3.5,5395.0,2950.0,1.0,0.0,0.0
Brighton,98118,247.4129213483146,4.044943820224719,4.314606741573034,84.42977528089888,65.95224719101124,5182.634831460674,1.1853932584269662,1.1853932584269662,838.3314606741573,730.6011235955057,0.29213483146067415,6.320224719101123,0.10112359550561797
Broadview,98133,329.0,2.5714285714285716,0.8571428571428571,62.642857142857146,50.0,8262.42857142857,1.7142857142857142,1.7142857142857142,1379.142857142857,859.9642857142857,0.2857142857142857,113.92857142857143,0.0
Bryant,98105,542.25,0.0,0.0,79.25,61.75,9659.5,1.0,1.0,1545.0,600.0,0.5,847.5,9.0
Bryant,98115,533.0,0.0,0.0,77.0,56.0,9651.0,4.0,2.0,4100.0,2480.0,1.0,4100.0,0.0
Bryn Mawr-Skyway,98178,333.8,2.5,2.2,31.4,6.1,7913.1,1.95,1.425,1779.85,1034.1,0.55,0.0,0.0
Capitol Hill,98102,320.4255319148936,3.9893617021276597,0.1702127659574468,97.44680851063829,83.98936170212765,7423.808510638298,1.2553191489361701,1.2127659574468086,1325.6489361702127,660.7340425531914,0.20212765957446807,100.74468085106383,0.6382978723404256
Capitol Hill,98112,510.0,0.0,0.0,97.0,80.0,9595.0,1.0,1.0,1450.0,600.0,1.0,500.0,12.0
Capitol Hill,98122,181.4797507788162,1.8862928348909658,1.5825545171339563,99.50623052959502,94.75389408099689,5212.327102803738,1.1728971962616823,1.1853582554517135,1268.771028037383,674.1308411214953,0.29439252336448596,6.308411214953271,0.04672897196261682
Central Seattle,98144,237.0,5.0,0.0,93.0,78.0,6830.0,1.263157894736842,1.263157894736842,2345.7894736842104,777.421052631579,0.10526315789473684,0.0,0.0
Chinatown,98104,218.03658536585365,0.14634146341463414,3.3658536585365852,98.02439024390245,100.0,6285.414634146341,1.1951219512195121,1.0731707317073171,814.1585365853658,509.9024390243902,0.4878048780487805,4.878048780487805,0.14634146341463414
Columbia City,98108,265.38461538461536,4.076923076923077,0.0,87.0,64.0,7245.615384615385,1.8461538461538463,1.2692307692307692,945.2307692307693,840.2692307692307,0.38461538461538464,0.0,0.0
Columbia City,98118,116.48314606741573,0.5056179775280899,1.7865168539325842,92.61797752808988,62.53932584269663,3695.505617977528,1.2808988764044944,1.2808988764044944,1022.1685393258427,745.3426966292135,0.24719101123595505,10.539325842696629,0.1348314606741573
Columbia City,98144,323.0,4.0,0.0,89.0,71.0,8408.0,2.0,1.0,1464.0,756.5,1.0,0.0,0.0
Crown Hill,98117,324.75,3.875,0.0,78.9375,55.125,7687.125,1.5625,1.375,1001.875,800.21875,0.3125,106.25,0.0
Denny Triangle,98101,192.9087656529517,0.7334525939177102,3.5617173524150267,99.06261180679785,100.0,4569.992844364938,1.4221824686940967,1.4194991055456172,2236.1449016100178,1014.3157423971378,0.49731663685152055,19.481216457960645,0.08586762075134168
Denny Triangle,98121,262.911838790932,0.0,21.710327455919394,99.59193954659949,99.98992443324937,5688.231738035264,1.380352644836272,1.3551637279596978,3258.2292191435768,940.9093198992443,0.3778337531486146,16.3727959697733,0.030226700251889168
Downtown Seattle,98101,34.81978798586572,0.028268551236749116,3.2120141342756185,98.36042402826855,100.0,1288.8727915194347,1.2579505300353357,1.2332155477031803,1059.6678445229682,857.5106007067138,0.21908127208480566,0.0,0.0
Downtown Seattle,98104,140.27272727272728,0.0,13.636363636363637,97.63636363636364,100.0,4036.818181818182,1.2727272727272727,1.0909090909090908,2072.181818181818,671.7272727272727,0.9090909090909091,0.0,0.0
Dunlap,98118,366.14285714285717,1.8571428571428572,0.0,77.35714285714286,48.714285714285715,8630.785714285714,2.0,1.1428571428571428,1429.142857142857,921.4285714285714,0.07142857142857142,214.28571428571428,0.8571428571428571
Eastlake,98102,188.6,0.2727272727272727,4.763636363636364,78.78181818181818,62.25454545454546,5570.054545454545,1.1636363636363636,1.1272727272727272,1822.6545454545455,527.3818181818182,0.4,27.272727272727273,0.43636363636363634
Fairmount Park,98116,381.0,0.0,1.0,92.0,54.0,9002.0,1.2380952380952381,1.2380952380952381,1574.047619047619,807.1904761904761,0.19047619047619047,0.0,0.0
Fairmount Park,98126,158.47916666666666,0.0,7.0625,85.35416666666667,56.708333333333336,4700.083333333333,1.3333333333333333,1.2083333333333333,1950.3541666666667,788.8541666666666,0.3125,0.0,0.0
Fauntleroy,98136,661.0,0.0,0.0,43.0,47.0,10012.0,4.0,2.0,3400.0,2290.0,0.0,3400.0,0.0
First Hill,98101,162.0655737704918,1.721311475409836,2.5901639344262297,98.24590163934427,100.0,4962.426229508197,1.3934426229508197,1.2950819672131149,2301.3606557377047,808.5573770491803,0.4016393442622951,39.75409836065574,0.4918032786885246
First Hill,98104,270.5346756152125,0.4966442953020134,3.9440715883668904,96.64653243847874,100.0,5650.029082774049,1.313199105145414,1.232662192393736,1724.2505592841164,758.9127516778524,0.348993288590604,10.51454138702461,0.026845637583892617
First Hill,98122,370.5742574257426,4.871287128712871,0.0,92.25742574257426,100.0,6642.148514851485,1.2316831683168317,1.2237623762376237,668.5346534653465,728.3613861386139,0.0891089108910891,0.0,0.0
Fremont,98103,296.0735785953177,3.8461538461538463,0.4882943143812709,90.96321070234114,63.48829431438127,6250.294314381271,1.2775919732441472,1.2240802675585285,976.304347826087,726.2591973244147,0.2140468227424749,29.581939799331103,0.20066889632107024
Fremont,98107,266.0,5.0,0.0,89.0,66.0,7457.5,1.125,1.125,608.125,518.75,0.25,0.0,0.0
Gatewood,98126,724.0,0.0,0.0,54.0,45.0,10504.0,1.0,1.0,1500.0,1000.0,1.0,0.0,0.0
Genesee,98116,292.65294117647056,1.8823529411764706,3.0088235294117647,95.77941176470588,54.0,5922.467647058824,1.2323529411764707,1.2308823529411765,1526.6088235294117,753.7294117647059,0.3735294117647059,8.382352941176471,0.01764705882352941
Georgetown,98108,622.0,0.0,0.0,67.5,49.0,10010.5,1.5,1.0,1572.5,792.5,1.0,750.0,6.0
Green Lake,98103,631.0,0.0,0.0,82.0,57.0,9888.0,3.0,2.0,2495.0,1580.0,0.0,0.0,0.0
Green Lake,98115,190.43726235741445,0.45627376425855515,5.870722433460076,94.94296577946768,56.368821292775664,5135.38783269962,1.2357414448669202,1.1863117870722433,1705.8250950570343,741.7984790874525,0.39543726235741444,0.0,0.0
Greenwood,98103,371.6923076923077,0.9615384615384616,0.6153846153846154,93.46153846153847,55.19230769230769,8731.576923076924,1.3076923076923077,1.2307692307692308,1564.0384615384614,734.1923076923077,0.4230769230769231,61.53846153846154,0.15384615384615385
Greenwood,98117,350.14285714285717,3.5714285714285716,0.0,90.57142857142857,55.0,8015.428571428572,1.1428571428571428,1.0,1685.4285714285713,708.0,0.5714285714285714,314.2857142857143,1.7142857142857142
Greenwood,98133,27.98181818181818,0.0,4.909090909090909,84.01818181818182,57.0,831.8545454545455,1.1454545454545455,1.0363636363636364,1416.581818181818,639.4272727272727,0.6727272727272727,0.0,0.0
Greenwood,98177,354.0,5.0,0.0,81.0,56.0,8559.0,1.0,1.0,1650.0,650.0,0.0,0.0,0.0
Haller Lake,98133,486.0,0.0,0.6666666666666666,82.0,57.666666666666664,9457.333333333334,1.3333333333333333,1.1666666666666667,1750.0,922.0,0.3333333333333333,950.0,8.0
Harrison/Denny Blaine,98112,593.0,0.0,0.0,88.0,55.0,9842.0,3.0,2.0,3400.0,1200.0,1.0,600.0,0.0
High Point,98106,257.5882352941176,1.6470588235294117,2.3529411764705883,44.0,47.588235294117645,6941.235294117647,1.6470588235294117,1.0588235294117647,1711.4117647058824,881.6470588235294,0.7647058823529411,264.70588235294116,0.7058823529411765
High Point,98126,172.0,0.0,14.0,71.0,52.0,5793.5,1.2666666666666666,1.1666666666666667,1136.0,759.1666666666666,0.2,0.0,0.0
Highland Park,98106,404.02702702702703,0.0,4.864864864864865,45.189189189189186,42.108108108108105,6812.351351351352,1.6756756756756757,1.4324324324324325,1507.027027027027,853.5675675675676,0.6756756756756757,45.945945945945944,0.0
Highline,98146,405.575,0.0,1.3,45.3,1.075,7171.125,1.725,1.4875,1599.3,867.375,0.45,25.0,0.0
Highline,98168,382.0,4.0,0.0,45.0,0.0,9022.0,1.6842105263157894,1.368421052631579,851.3684210526316,705.3157894736842,0.3684210526315789,0.0,0.0
Interbay,98119,189.28571428571428,2.857142857142857,0.8571428571428571,74.14285714285714,53.42857142857143,5723.071428571428,1.1904761904761905,1.1904761904761905,1569.3333333333333,696.1428571428571,0.2857142857142857,0.0,0.0
Interbay,98199,656.0,0.0,0.0,49.5,49.0,10053.0,1.5,1.0,1547.5,325.0,1.0,0.0,0.0
Junction,98116,204.96694214876032,1.962809917355372,1.5702479338842976,97.89669421487604,53.896694214876035,5419.962809917355,1.256198347107438,1.1239669421487604,1271.9132231404958,734.2747933884298,0.2644628099173554,0.0,0.0
Junction,98136,149.0,0.0,5.0,92.0,53.0,5074.5,1.1538461538461537,1.1153846153846154,1987.8846153846155,712.1538461538462,0.5,0.0,0.0
Lake City,98125,251.6783625730994,1.2777777777777777,1.6578947368421053,82.78362573099415,57.35087719298246,6215.502923976608,1.3771929824561404,1.2309941520467835,831.7719298245614,741.8523391812865,0.34502923976608185,17.39766081871345,0.14035087719298245
Lake Union,98109,86.0,0.0,11.0,77.0,77.0,3265.5,1.2727272727272727,1.2727272727272727,2637.3863636363635,795.6363636363636,0.38636363636363635,0.0,0.0
Laurelhurst,98105,621.0,0.0,0.0,79.0,61.0,9878.0,1.0,1.0,1350.0,0.0,1.0,0.0,0.0
Lawton Park,98199,190.80769230769232,0.0,3.269230769230769,56.34615384615385,43.67307692307692,4035.75,1.5769230769230769,1.5096153846153846,1555.923076923077,986.4615384615385,0.38461538461538464,15.384615384615385,0.34615384615384615
Leschi,98144,548.0,0.0,0.0,58.666666666666664,45.666666666666664,9650.333333333334,2.0,1.3333333333333333,3473.3333333333335,1316.6666666666667,0.6666666666666666,733.3333333333334,4.0
Lower Queen Anne,98109,335.502479338843,0.7586776859504132,0.5603305785123966,96.00495867768595,82.46611570247934,6656.135537190083,1.2314049586776858,1.2363636363636363,2318.561983471074,769.3322314049586,0.715702479338843,12.702479338842975,0.08925619834710743
Lower Queen Anne,98119,192.79148936170213,2.9574468085106385,5.251063829787234,90.81276595744681,71.91914893617022,5747.825531914894,1.195744680851064,1.2574468085106383,747.1702127659574,630.9042553191489,0.13191489361702127,2.5531914893617023,0.05106382978723404
