,propertyName,street,city,state,zipCode,neighborhood,reviewScore,reviewCount,walkScore,transitScore
0,Jackson Apartments,2401 S Jackson St,Seattle,WA,98144,Atlantic,0,0,90,70
1,Elan 41,4100 SW Edmunds St SW,Seattle,WA,98116,Junction,4,0,98,54
2,Circa Green Lake Apartments,6900 E Green Lake Way N,Seattle,WA,98115,Green Lake,0,6,95,56
3,LUNA,2745 California Ave SW,Seattle,WA,98116,North Admiral,5,0,91,41
4,Tower 12,2015 2nd Ave,Seattle,WA,98121,Pike Place Market,0,4,98,100
5,Common Summit,1722 Summit Ave,Seattle,WA,98122,Capitol Hill,3,0,99,99
6,Harbor Steps,1221 1st Ave,Seattle,WA,98101,Downtown Seattle,0,5,98,100
7,Ballard 57 Apartments,1731 NW 57th St,Seattle,WA,98107,Ballard,5,0,97,55
8,Fox & Finch Apartments,525 Boren Ave N,Seattle,WA,98109,South Lake Union,5,0,98,88
9,Tellus on Dexter Apartments,403 Dexter Ave N,Seattle,WA,98109,South Lake Union,5,0,94,93
10,Lane,10720 5th Ave NE,Seattle,WA,98125,Maple Leaf,0,1,91,63
11,Overlook at Magnolia,3520 27th Pl W,Seattle,WA,98199,Lawton Park,0,5,52,44
12,Met Tower,1942-1942 Westlake Ave,Seattle,WA,98101,Denny Triangle,0,5,99,100
13,Olympus,2801 Western Ave,Seattle,WA,98121,Belltown,0,5,95,95
14,The Olivian,809 Olive Way,Seattle,WA,98101,Denny Triangle,0,2,99,100
15,Leilani Apartment Homes,10215 Greenwood Ave N,Seattle,WA,98133,Greenwood,0,5,84,57
16,Airmark Apartments,229 Andover Park E,Seattle,WA,98188,Tukwila Urban Center,5,0,60,48
17,Assembly118,4200 S Othello St,Seattle,WA,98118,Brighton,5,0,84,66
18,Helm,625 Boren Ave,Seattle,WA,98109,South Lake Union,0,8,96,86
19,Mera,630 Boren Ave N,Seattle,WA,98109,South Lake Union,0,2,97,85
20,Origin Apartments,12311 32nd Ave NE,Seattle,WA,98125,Lake City,0,1,90,59
21,Chloe on Union,1408-1412 E Union St,Seattle,WA,98122,Minor,0,1,98,82
22,Griffis Belltown,2400 ELLIOTT Ave,Seattle,WA,98121,Belltown,0,5,97,100
23,Charbern Apartments,1705 Belmont Ave,Seattle,WA,98122,Capitol Hill,4,0,99,100
24,AMLI South Lake Union,1260 Republican St,Seattle,WA,98109,South Lake Union,0,3,96,86
25,ArtHouse,2334 Elliott Ave,Seattle,WA,98121,Belltown,0,4,97,100
26,AMLI Mark24,2428 NW Market St,Seattle,WA,98107,Ballard,0,2,97,54
