,propertyName,verified,street,city,state,zipCode,neighborhood,reviewScore,reviewCount,walkScore,transitScore
0,LUNA,False,2745 California Ave SW,Seattle,WA,98116,North Admiral,5,0,91,41
1,Elan 41,False,4100 SW Edmunds St SW,Seattle,WA,98116,Junction,4,0,98,54
2,Jackson Apartments,False,2401 S Jackson St,Seattle,WA,98144,Atlantic,0,0,90,70
3,Circa Green Lake Apartments,False,6900 E Green Lake Way N,Seattle,WA,98115,Green Lake,0,6,95,56
4,Tower 12,False,2015 2nd Ave,Seattle,WA,98121,Pike Place Market,0,4,98,100
5,Common Summit,False,1722 Summit Ave,Seattle,WA,98122,Capitol Hill,3,0,99,99
6,The Mill at First Hill,False,1000 8th Ave,Seattle,WA,98104,First Hill,0,15,98,100
7,AMLI Arc,False,1800 Boren Ave,Seattle,WA,98101,Denny Triangle,5,0,99,100
8,HANA Apartments,False,101 6th Ave S,Seattle,WA,98104,Pioneer Square,0,11,98,100
9,The Olivian,False,809 Olive Way,Seattle,WA,98101,Denny Triangle,0,2,99,100
10,AMLI South Lake Union,False,1260 Republican St,Seattle,WA,98109,South Lake Union,0,3,96,86
11,AMLI Mark24,False,2428 NW Market St,Seattle,WA,98107,Ballard,0,2,97,54
12,McKenzie,False,2202 Eighth Ave,Seattle,WA,98121,Denny Triangle,0,23,100,100
13,CityLine,False,4740 32nd Ave S,Seattle,WA,98118,Columbia City,0,1,92,64
14,The Kennedy Building,False,907 NE 45th St,Seattle,WA,98105,University District,5,0,97,82
15,Lightbox,False,4545 8th Ave NE,Seattle,WA,98105,University District,0,3,94,80
16,Sorento Flats,False,1414 E Yesler Way,Seattle,WA,98122,Minor,0,5,92,93
17,Rise on 67th,False,829 NE 67th St,Seattle,WA,98115,Roosevelt,0,5,95,59
18,Olympus,False,2801 Western Ave,Seattle,WA,98121,Belltown,0,5,95,95
19,Centennial Tower and Court,False,2515 4th Ave,Seattle,WA,98121,Belltown,0,7,99,100
20,Cascade,False,221 Minor Ave N,Seattle,WA,98109,South Lake Union,4,0,99,92
21,Harbor Steps,False,1221 1st Ave,Seattle,WA,98101,Downtown Seattle,0,5,98,100
22,Saxton,False,520 Terry Ave,Seattle,WA,98104,First Hill,0,2,96,100
23,Via 6,False,2121 6th Ave,Seattle,WA,98121,Denny Triangle,0,53,99,100
24,Helm,False,625 Boren Ave,Seattle,WA,98109,South Lake Union,0,8,96,86
25,Mera,False,630 Boren Ave N,Seattle,WA,98109,South Lake Union,0,2,97,85
26,Novo Seattle,False,6105 Roosevelt Way NE,Seattle,WA,98115,Roosevelt,5,0,97,66
27,Maude Urban Living,False,836 NE 67th St,Seattle,WA,98115,Roosevelt,0,2,95,59
28,Derby South Lake Union,False,1210 Republican St,Seattle,WA,98109,South Lake Union,5,0,97,86
29,Griffis Belltown,False,2400 ELLIOTT Ave,Seattle,WA,98121,Belltown,0,5,97,100
30,Tellus on Dexter Apartments,False,403 Dexter Ave N,Seattle,WA,98109,South Lake Union,5,0,94,93
31,Sitka,False,1255 Harrison St,Seattle,WA,98109,South Lake Union,0,16,97,89
32,Ascent South Lake Union,False,1145 Republican St,Seattle,WA,98109,South Lake Union,0,15,99,91
33,Marlowe,False,1146 Harrison St,Seattle,WA,98109,South Lake Union,0,7,99,91
34,Spruce,False,4555 39th Ave SW,Seattle,WA,98116,Genesee,0,8,95,54
35,Helios,False,1600 2nd Ave,Seattle,WA,98101,Downtown Seattle,0,1,99,100
36,Park South,False,10102 8th Ave S,Seattle,WA,98168,Southern Heights-Boulevard Park,0,12,35,0
37,Elara At The Market,False,2134 Western Ave,Seattle,WA,98121,Belltown,0,1,98,100
38,Pike Motorworks,False,715 E Pine St,Seattle,WA,98122,Capitol Hill,0,1,100,97
39,The Station At Othello Park,False,4219 S Othello St,Seattle,WA,98118,Brighton,0,24,87,66
40,Oakwood Residence Seattle South Lake Union,False,717 N Dexter Ave,Seattle,WA,98109,South Lake Union,5,0,88,85
41,Chloe on Union,False,1408-1412 E Union St,Seattle,WA,98122,Minor,0,1,98,82
42,ArtHouse,False,2334 Elliott Ave,Seattle,WA,98121,Belltown,0,4,97,100
43,Charbern Apartments,False,1705 Belmont Ave,Seattle,WA,98122,Capitol Hill,4,0,99,100
44,Leilani Apartment Homes,False,10215 Greenwood Ave N,Seattle,WA,98133,Greenwood,0,5,84,57
45,Assembly118,False,4200 S Othello St,Seattle,WA,98118,Brighton,5,0,84,66
46,Origin Apartments,False,12311 32nd Ave NE,Seattle,WA,98125,Lake City,0,1,90,59
47,Overlook at Magnolia,False,3520 27th Pl W,Seattle,WA,98199,Lawton Park,0,5,52,44
48,Met Tower,False,1942-1942 Westlake Ave,Seattle,WA,98101,Denny Triangle,0,5,99,100
49,Airmark Apartments,False,229 Andover Park E,Seattle,WA,98188,Tukwila Urban Center,5,0,60,48
50,Lofts at the Junction,False,4535 44th Ave SW,Seattle,WA,98116,Junction,5,0,97,53
51,Fox & Finch Apartments,False,525 Boren Ave N,Seattle,WA,98109,South Lake Union,5,0,98,88
52,Ballard 57 Apartments,False,1731 NW 57th St,Seattle,WA,98107,Ballard,5,0,97,55
53,Odin,False,5398 Russell Ave NW,Seattle,WA,98107,Ballard,5,0,97,56
54,Mark on 8th,False,285 8th Ave N,Seattle,WA,98109,South Lake Union,0,1,97,95
55,Lane,False,10720 5th Ave NE,Seattle,WA,98125,Maple Leaf,0,1,91,63
56,Bogtown Flats,False,9039 Greenwood Ave N,Seattle,WA,98103,Seattle,0,1,87,58
57,Vida Seattle,False,1205 NE 66th St,Seattle,WA,98115,Roosevelt,0,1,97,59
