neighborhood,Unnamed: 0_x,zipCode,reviewScore,reviewCount,walkScore,transitScore,Unnamed: 0_y,bedRoomNumber,baths,rent,sqft,availability,deposit,leaseLength
Alki,551.6,98116.0,,,48.0,35.4,9767.8,1.6,1.0,2378.0,989.4,1.0,1316.6666666666667,12.0
Arbor Heights,572.6666666666666,98146.0,,,24.0,39.666666666666664,9742.666666666666,2.0,1.3333333333333333,2116.3333333333335,1136.6666666666667,1.0,1647.5,6.0
Atlantic,330.98785425101215,98143.92941176471,5.0,2.3157894736842106,89.84470588235294,70.57411764705883,4769.269503546099,1.3105882352941176,1.3235294117647058,2513.7320099255585,790.0212264150944,1.0,1714.0,9.8
Ballard,176.71836734693878,98106.84897959184,4.724770642201835,4.473262032085562,95.2591836734694,54.61224489795919,4816.989795918367,1.2081632653061225,1.1775510204081632,2192.112804878049,718.523517382413,1.0,1950.0,12.0
Beacon Hill,503.0,98108.0,5.0,,57.6,54.4,9297.4,2.0,1.6,2197.0,1109.0,1.0,1097.5,12.0
Belltown,190.4823766364552,98121.0,4.7927461139896375,6.782002534854246,97.93554884189325,99.28197381671701,5152.841893252769,1.216515609264854,1.1545820745216515,2348.1069836552747,719.239837398374,1.0,1415.0,10.0
Bitter Lake,303.3058823529412,98133.0,4.435897435897436,1.4736842105263157,74.18823529411765,52.247058823529414,7713.129411764706,1.4470588235294117,1.223529411764706,1542.8354430379748,751.9058823529411,1.0,1107.142857142857,
Briarcliff,723.0,98199.0,,,72.0,36.0,10503.0,5.0,3.5,5395.0,2950.0,1.0,,
Brighton,247.4129213483146,98118.0,5.0,24.0,84.42977528089888,65.95224719101124,5182.634831460674,1.1853932584269662,1.1853932584269662,1776.4642857142858,730.6011235955057,1.0,750.0,12.0
Broadview,329.0,98133.0,4.0,3.0,62.642857142857146,50.0,8262.42857142857,1.7142857142857142,1.7142857142857142,1930.8,859.9642857142857,1.0,1595.0,
Bryant,540.4,98107.0,,,78.8,60.6,9657.8,1.6,1.2,2056.0,976.0,1.0,2496.6666666666665,12.0
Bryn Mawr-Skyway,333.8,98178.0,5.0,5.5,31.4,40.666666666666664,7913.1,1.95,1.425,1779.85,1034.1,1.0,,
Capitol Hill,199.6472184531886,98119.43554952511,4.806060606060606,2.5994962216624686,99.24016282225237,93.36092265943012,5500.335142469471,1.1831750339213025,1.1934604904632153,2288.593673965937,701.842776203966,1.0,1752.5,11.333333333333334
Central Seattle,237.0,98144.0,5.0,,93.0,78.0,6830.0,1.263157894736842,1.263157894736842,2345.7894736842104,777.421052631579,1.0,,
Chinatown,218.03658536585365,98104.0,4.0,3.5844155844155843,98.02439024390245,100.0,6285.414634146341,1.1951219512195121,1.0731707317073171,1309.0392156862745,516.1975308641976,1.0,400.0,12.0
Columbia City,140.8190476190476,98117.50476190477,4.4,2.0384615384615383,91.81904761904762,62.96190476190476,4269.685714285714,1.3714285714285714,1.2714285714285714,1856.0862068965516,772.1213592233009,1.0,938.0,12.0
Crown Hill,324.75,98117.0,4.428571428571429,,78.9375,55.125,7687.125,1.5625,1.375,2003.75,853.5666666666667,1.0,1700.0,
Denny Triangle,221.97907949790795,98109.30543933055,5.0,12.223502304147466,99.28242677824268,99.99581589958159,5034.366108786611,1.4048117154811715,1.3927824267782427,3757.0487444608566,983.8321129707113,1.0,3478.0,12.0
Downtown Seattle,38.765306122448976,98101.11224489796,4.0,3.6391752577319587,98.33333333333333,100.0,1391.687074829932,1.2585034013605443,1.227891156462585,2623.4146341463415,850.5595238095239,1.0,,
Dunlap,366.14285714285717,98118.0,2.0,,77.35714285714286,48.714285714285715,8630.785714285714,2.0,1.1428571428571428,1429.142857142857,921.4285714285714,1.0,3000.0,12.0
Eastlake,188.6,98102.0,5.0,5.24,78.78181818181818,62.25454545454546,5570.054545454545,1.1636363636363636,1.1272727272727272,1856.4074074074074,537.1481481481482,1.0,1500.0,12.0
Fairmount Park,226.20289855072463,98122.95652173914,,5.294117647058823,87.3768115942029,55.88405797101449,6009.36231884058,1.3043478260869565,1.2173913043478262,2076.590163934426,794.4347826086956,1.0,,
Fauntleroy,661.0,98136.0,,,43.0,47.0,10012.0,4.0,2.0,3400.0,2290.0,,3400.0,
First Hill,305.2523277467412,98112.12290502794,4.796019900497512,4.7465753424657535,94.76443202979516,100.0,6038.420856610801,1.2839851024208566,1.2401869158878505,2424.286212914485,762.2521286660359,1.0,1591.6666666666667,12.0
Fremont,295.2899022801303,98103.10423452768,5.0,2.3174603174603177,90.91205211726384,63.55374592833876,6281.7524429967425,1.273615635179153,1.221498371335505,2182.205882352941,725.5786885245901,1.0,1769.0,12.0
Gatewood,724.0,98126.0,,,54.0,45.0,10504.0,1.0,1.0,1500.0,1000.0,1.0,,
Genesee,292.65294117647056,98116.0,5.0,4.848341232227488,95.77941176470588,54.0,5922.467647058824,1.2323529411764707,1.2308823529411765,2067.9163346613545,758.189349112426,1.0,2850.0,6.0
Georgetown,622.0,98108.0,,,67.5,49.0,10010.5,1.5,1.0,1572.5,792.5,1.0,1500.0,12.0
Green Lake,192.1060606060606,98114.95454545454,4.0,6.655172413793103,94.89393939393939,56.371212121212125,5153.390151515152,1.2424242424242424,1.1893939393939394,2179.3574879227053,744.9734848484849,1.0,,
Greenwood,157.3932584269663,98123.47191011236,5.0,4.085714285714285,87.25842696629213,56.30337078651685,3791.4606741573034,1.1910112359550562,1.0898876404494382,1671.2025316455697,672.623595505618,1.0,760.0,3.2
Haller Lake,486.0,98133.0,,2.0,82.0,57.666666666666664,9457.333333333334,1.3333333333333333,1.1666666666666667,1750.0,922.0,1.0,1425.0,12.0
Harrison/Denny Blaine,593.0,98112.0,,,88.0,55.0,9842.0,3.0,2.0,3400.0,1200.0,1.0,600.0,
High Point,202.95744680851064,98118.76595744681,4.0,12.105263157894736,61.234042553191486,50.40425531914894,6208.63829787234,1.4042553191489362,1.127659574468085,1858.0588235294117,803.468085106383,1.0,2250.0,12.0
Highland Park,404.02702702702703,98106.0,,5.0,45.189189189189186,42.108108108108105,6812.351351351352,1.6756756756756757,1.4324324324324325,1922.7586206896551,853.5675675675676,1.0,1700.0,
Highline,397.9830508474576,98153.08474576271,4.0,1.4054054054054055,45.20338983050848,43.0,7767.169491525424,1.7118644067796611,1.4491525423728813,1635.6734693877552,858.8571428571429,1.0,500.0,
