neighborhood,zipCode,Unnamed: 0_x,reviewScore,reviewCount,walkScore,transitScore,Unnamed: 0_y,bedRoomNumber,baths,rent,sqft,availability,deposit,leaseLength
Alki,98116,551.6,,,48.0,35.4,9767.8,1.6,1.0,2378.0,989.4,1.0,1316.6666666666667,12.0
Arbor Heights,98146,572.6666666666666,,,24.0,39.666666666666664,9742.666666666666,2.0,1.3333333333333333,2116.3333333333335,1136.6666666666667,1.0,1647.5,6.0
Atlantic,98114,348.0,5.0,,92.0,89.0,8517.0,1.0,1.0,1695.0,500.0,,,
Atlantic,98144,330.9186991869919,,2.3157894736842106,89.83962264150944,70.53066037735849,4760.388625592417,1.3113207547169812,1.3242924528301887,2515.768656716418,790.7068557919622,1.0,1714.0,9.8
Ballard,98103,177.0,,23.0,93.0,54.0,5927.0,1.2857142857142858,1.1904761904761905,1922.7777777777778,636.85,1.0,,
Ballard,98107,176.01923076923077,4.724770642201835,3.3711048158640224,95.36965811965813,54.6559829059829,4757.047008547009,1.205128205128205,1.1773504273504274,2201.801886792453,722.0534188034188,1.0,2187.5,12.0
Ballard,98117,498.0,,,91.0,47.0,9560.0,1.0,1.0,1535.0,700.0,1.0,1000.0,12.0
Beacon Hill,98108,503.0,5.0,,57.6,54.4,9297.4,2.0,1.6,2197.0,1109.0,1.0,1097.5,12.0
Belltown,98121,190.4823766364552,4.7927461139896375,6.782002534854246,97.93554884189325,99.28197381671701,5152.841893252769,1.216515609264854,1.1545820745216515,2348.1069836552747,719.239837398374,1.0,1415.0,10.0
Bitter Lake,98133,303.3058823529412,4.435897435897436,1.4736842105263157,74.18823529411765,52.247058823529414,7713.129411764706,1.4470588235294117,1.223529411764706,1542.8354430379748,751.9058823529411,1.0,1107.142857142857,
Briarcliff,98199,723.0,,,72.0,36.0,10503.0,5.0,3.5,5395.0,2950.0,1.0,,
Brighton,98118,247.4129213483146,5.0,24.0,84.42977528089888,65.95224719101124,5182.634831460674,1.1853932584269662,1.1853932584269662,1776.4642857142858,730.6011235955057,1.0,750.0,12.0
Broadview,98133,329.0,4.0,3.0,62.642857142857146,50.0,8262.42857142857,1.7142857142857142,1.7142857142857142,1930.8,859.9642857142857,1.0,1595.0,
Bryant,98105,542.25,,,79.25,61.75,9659.5,1.0,1.0,1545.0,600.0,1.0,1695.0,12.0
Bryant,98115,533.0,,,77.0,56.0,9651.0,4.0,2.0,4100.0,2480.0,1.0,4100.0,
Bryn Mawr-Skyway,98178,333.8,5.0,5.5,31.4,40.666666666666664,7913.1,1.95,1.425,1779.85,1034.1,1.0,,
Capitol Hill,98102,320.4255319148936,4.87012987012987,1.4545454545454546,97.44680851063829,83.98936170212765,7423.808510638298,1.2553191489361701,1.2127659574468086,2186.157894736842,660.7340425531914,1.0,2367.5,12.0
Capitol Hill,98112,510.0,,,97.0,80.0,9595.0,1.0,1.0,1450.0,600.0,1.0,500.0,12.0
Capitol Hill,98122,181.4797507788162,4.786561264822135,2.6321243523316062,99.50623052959502,94.75389408099689,5212.327102803738,1.1728971962616823,1.1909233176838812,2307.509915014164,708.3338788870703,1.0,1350.0,10.0
Central Seattle,98144,237.0,5.0,,93.0,78.0,6830.0,1.263157894736842,1.263157894736842,2345.7894736842104,777.421052631579,1.0,,
Chinatown,98104,218.03658536585365,4.0,3.5844155844155843,98.02439024390245,100.0,6285.414634146341,1.1951219512195121,1.0731707317073171,1309.0392156862745,516.1975308641976,1.0,400.0,12.0
Columbia City,98108,265.38461538461536,4.076923076923077,,87.0,64.0,7245.615384615385,1.8461538461538463,1.2692307692307692,1755.4285714285713,840.2692307692307,1.0,,
Columbia City,98118,116.48314606741573,5.0,2.0384615384615383,92.61797752808988,62.53932584269663,3695.505617977528,1.2808988764044944,1.2808988764044944,1895.2708333333333,762.4770114942529,1.0,938.0,12.0
Columbia City,98144,323.0,4.0,,89.0,71.0,8408.0,2.0,1.0,1464.0,756.5,1.0,,
Crown Hill,98117,324.75,4.428571428571429,,78.9375,55.125,7687.125,1.5625,1.375,2003.75,853.5666666666667,1.0,1700.0,
Denny Triangle,98101,192.9087656529517,5.0,4.209302325581396,99.06261180679785,100.0,4569.992844364938,1.4221824686940967,1.4194991055456172,3406.008174386921,1014.3157423971378,1.0,3630.0,12.0
Denny Triangle,98121,262.911838790932,,21.820253164556963,99.59193954659949,99.98992443324937,5688.231738035264,1.380352644836272,1.3551637279596978,4172.635483870968,940.9093198992443,1.0,3250.0,12.0
Downtown Seattle,98101,34.81978798586572,4.0,3.2348754448398576,98.36042402826855,100.0,1288.8727915194347,1.2579505300353357,1.2332155477031803,2677.5535714285716,857.5106007067138,1.0,,
Downtown Seattle,98104,140.27272727272728,,15.0,97.63636363636364,100.0,4036.818181818182,1.2727272727272727,1.0909090909090908,2072.181818181818,671.7272727272727,1.0,,
Dunlap,98118,366.14285714285717,2.0,,77.35714285714286,48.714285714285715,8630.785714285714,2.0,1.1428571428571428,1429.142857142857,921.4285714285714,1.0,3000.0,12.0
Eastlake,98102,188.6,5.0,5.24,78.78181818181818,62.25454545454546,5570.054545454545,1.1636363636363636,1.1272727272727272,1856.4074074074074,537.1481481481482,1.0,1500.0,12.0
Fairmount Park,98116,381.0,,1.0,92.0,54.0,9002.0,1.2380952380952381,1.2380952380952381,2361.0714285714284,807.1904761904761,1.0,,
Fairmount Park,98126,158.47916666666666,,7.212765957446808,85.35416666666667,56.708333333333336,4700.083333333333,1.3333333333333333,1.2083333333333333,1991.8510638297873,788.8541666666666,1.0,,
Fauntleroy,98136,661.0,,,43.0,47.0,10012.0,4.0,2.0,3400.0,2290.0,,3400.0,
First Hill,98101,162.0655737704918,4.038461538461538,4.9375,98.24590163934427,100.0,4962.426229508197,1.3934426229508197,1.2950819672131149,2623.9813084112147,815.2396694214876,1.0,970.0,12.0
First Hill,98104,270.5346756152125,4.826086956521739,4.713903743315508,96.64653243847874,100.0,5650.029082774049,1.313199105145414,1.232662192393736,2300.716417910448,758.9127516778524,1.0,4700.0,12.0
First Hill,98122,370.5742574257426,4.871287128712871,,92.25742574257426,100.0,6642.148514851485,1.2316831683168317,1.2335329341317365,2577.1755725190837,752.1932515337423,1.0,,
Fremont,98103,296.0735785953177,5.0,2.3174603174603177,90.96321070234114,63.48829431438127,6250.294314381271,1.2775919732441472,1.2240802675585285,2194.8496240601503,726.2591973244147,1.0,1769.0,12.0
Fremont,98107,266.0,5.0,,89.0,66.0,7457.5,1.125,1.125,1621.6666666666667,691.6666666666666,1.0,,
Gatewood,98126,724.0,,,54.0,45.0,10504.0,1.0,1.0,1500.0,1000.0,1.0,,
Genesee,98116,292.65294117647056,5.0,4.848341232227488,95.77941176470588,54.0,5922.467647058824,1.2323529411764707,1.2308823529411765,2067.9163346613545,758.189349112426,1.0,2850.0,6.0
Georgetown,98108,622.0,,,67.5,49.0,10010.5,1.5,1.0,1572.5,792.5,1.0,1500.0,12.0
Green Lake,98103,631.0,,,82.0,57.0,9888.0,3.0,2.0,2495.0,1580.0,,,
Green Lake,98115,190.43726235741445,4.0,6.655172413793103,94.94296577946768,56.368821292775664,5135.38783269962,1.2357414448669202,1.1863117870722433,2177.8252427184466,741.7984790874525,1.0,,
Greenwood,98103,371.6923076923077,5.0,1.0,93.46153846153847,55.19230769230769,8731.576923076924,1.3076923076923077,1.2307692307692308,1626.6,734.1923076923077,1.0,400.0,1.0
Greenwood,98117,350.14285714285717,5.0,,90.57142857142857,55.0,8015.428571428572,1.1428571428571428,1.0,1685.4285714285713,708.0,1.0,2200.0,12.0
Greenwood,98133,27.98181818181818,,5.0,84.01818181818182,57.0,831.8545454545455,1.1454545454545455,1.0363636363636364,1693.7391304347825,639.4272727272727,1.0,,
Greenwood,98177,354.0,5.0,,81.0,56.0,8559.0,1.0,1.0,1650.0,650.0,,,
Haller Lake,98133,486.0,,2.0,82.0,57.666666666666664,9457.333333333334,1.3333333333333333,1.1666666666666667,1750.0,922.0,1.0,1425.0,12.0
Harrison/Denny Blaine,98112,593.0,,,88.0,55.0,9842.0,3.0,2.0,3400.0,1200.0,1.0,600.0,
High Point,98106,257.5882352941176,4.0,5.0,44.0,47.588235294117645,6941.235294117647,1.6470588235294117,1.0588235294117647,1711.4117647058824,881.6470588235294,1.0,2250.0,12.0
High Point,98126,172.0,,14.0,71.0,52.0,5793.5,1.2666666666666666,1.1666666666666667,2004.7058823529412,759.1666666666666,1.0,,
Highland Park,98106,404.02702702702703,,5.0,45.189189189189186,42.108108108108105,6812.351351351352,1.6756756756756757,1.4324324324324325,1922.7586206896551,853.5675675675676,1.0,1700.0,
Highline,98146,405.575,,1.4054054054054055,45.3,43.0,7171.125,1.725,1.4875,1728.972972972973,867.375,1.0,500.0,
Highline,98168,382.0,4.0,,45.0,,9022.0,1.6842105263157894,1.368421052631579,1348.0,837.5625,1.0,,
Interbay,98119,189.28571428571428,5.0,2.0,74.14285714285714,53.42857142857143,5723.071428571428,1.1904761904761905,1.1904761904761905,2197.0666666666666,769.421052631579,1.0,,
Interbay,98199,656.0,,,49.5,49.0,10053.0,1.5,1.0,1547.5,650.0,1.0,,
Junction,98116,204.96694214876032,4.2792792792792795,2.923076923076923,97.89669421487604,53.896694214876035,5419.962809917355,1.256198347107438,1.1239669421487604,1854.2349397590363,734.2747933884298,1.0,,
Junction,98136,149.0,,5.0,92.0,53.0,5074.5,1.1538461538461537,1.1153846153846154,1987.8846153846155,712.1538461538462,1.0,,
Lake City,98125,251.6783625730994,4.552083333333333,2.423076923076923,82.78362573099415,57.35087719298246,6215.502923976608,1.3771929824561404,1.2346041055718475,1777.9125,775.8822629969419,1.0,1190.0,12.0
Lake Union,98109,86.0,,11.0,77.0,77.0,3265.5,1.2727272727272727,1.2727272727272727,2637.3863636363635,795.6363636363636,1.0,,
Laurelhurst,98105,621.0,,,79.0,61.0,9878.0,1.0,1.0,1350.0,,1.0,,
Lawton Park,98199,190.80769230769232,,3.6956521739130435,56.34615384615385,43.67307692307692,4035.75,1.5769230769230769,1.5096153846153846,1973.3658536585365,986.4615384615385,1.0,400.0,9.0
Leschi,98144,548.0,,,58.666666666666664,45.666666666666664,9650.333333333334,2.0,1.3333333333333333,3473.3333333333335,1975.0,1.0,2200.0,12.0
Lower Queen Anne,98109,335.502479338843,4.882978723404255,3.2596153846153846,96.00495867768595,82.46611570247934,6656.135537190083,1.2314049586776858,1.2363636363636363,2845.294117647059,769.3322314049586,1.0,1537.0,10.8
Lower Queen Anne,98119,192.79148936170213,5.0,13.127659574468085,90.81276595744681,71.91914893617022,5747.825531914894,1.195744680851064,1.2574468085106383,2090.2976190476193,741.3125,1.0,600.0,12.0
Loyal Heights,98117,244.0,,7.0,91.0,49.0,7011.5,1.1818181818181819,1.1818181818181819,1467.5,637.5454545454545,,,
Madison Park,98112,562.25,,,74.75,33.0,9729.5,1.75,1.5,3385.0,1129.25,1.0,3150.0,12.0
Magnolia,98199,482.3333333333333,,,66.0,45.666666666666664,9471.0,1.6666666666666667,1.8333333333333333,2663.3333333333335,1269.3333333333333,1.0,2315.0,12.0
Mann,98112,579.0,,,90.0,57.0,9766.0,3.0,2.0,3250.0,1200.0,1.0,1500.0,12.0
Mann,98122,412.5,5.0,,89.0,66.0,6944.0,1.0,1.0,1081.1666666666667,191.58333333333334,1.0,,
Maple Leaf,98115,540.0,,2.0,60.25,53.5,9112.75,2.25,1.75,2571.25,1109.3333333333333,1.0,3500.0,
Maple Leaf,98125,194.0557768924303,4.0,3.7387755102040816,91.54980079681275,62.342629482071715,4881.621513944223,1.1952191235059761,1.1693227091633467,1786.2325581395348,680.7191235059761,1.0,,
Minor,98122,173.7531380753138,4.988505747126437,3.6620689655172414,94.5439330543933,82.56485355648536,4938.757322175732,1.3221757322175731,1.2301255230125523,2069.1060606060605,685.3016877637131,1.0,1562.5,12.0
Mt Baker,98144,526.5,,,77.75,63.75,9656.0,2.0,1.5,2625.5,1220.5,1.0,1373.3333333333333,12.0
North Admiral,98116,178.83653846153845,5.0,8.0,90.01923076923077,42.45192307692308,4660.028846153846,1.1730769230769231,1.1057692307692308,2059.6111111111113,681.2403846153846,1.0,3795.0,12.0
North Beach/ Blue Ridge,98117,646.0,,,51.0,45.0,9923.0,2.0,1.0,1695.0,1000.0,1.0,,
North Beacon Hill,98144,365.07773851590105,4.99625468164794,2.0,79.58303886925795,73.61837455830388,6446.208480565371,1.332155477031802,1.3180212014134276,2388.6944444444443,782.3992932862191,1.0,1233.3333333333333,12.0
North College Park,98103,554.25,,,85.25,61.5,9761.5,1.5,1.0,1621.25,725.0,1.0,1100.0,12.0
North College Park,98133,283.35897435897436,4.0,3.7777777777777777,70.94871794871794,63.30769230769231,7552.5641025641025,1.4615384615384615,1.3333333333333333,1599.7428571428572,822.7051282051282,1.0,,
North Delridge,98106,138.60416666666666,,3.0,72.58333333333333,56.895833333333336,4508.020833333333,1.2708333333333333,1.3555555555555556,1962.0416666666667,818.7777777777778,1.0,,
North Delridge,98126,143.0,,16.0,81.0,58.0,4786.0,1.2173913043478262,1.326086956521739,1916.6363636363637,736.2608695652174,1.0,,
Phinney Ridge,98103,725.0,,,81.0,52.0,10505.0,2.0,1.0,2995.0,1340.0,1.0,,
Phinney Ridge,98117,679.0,,,87.0,52.0,10151.0,3.0,2.5,4495.0,2263.0,1.0,,
Pike Place Market,98101,240.4561403508772,,11.11111111111111,98.66666666666667,100.0,6783.3859649122805,1.1754385964912282,1.1403508771929824,2612.777777777778,708.7017543859649,1.0,1441.6666666666667,12.0
Pike Place Market,98121,4.0,,4.0,98.0,100.0,182.5,1.2592592592592593,1.3148148148148149,4006.128205128205,940.3425925925926,1.0,,
Pinehurst,98125,372.9375,,2.0,76.0625,56.4375,8291.4375,1.3125,1.125,1458.5384615384614,662.75,1.0,1462.5,12.0
Pioneer Square,98104,306.5,4.0,9.073394495412844,97.95833333333333,100.0,6050.895833333333,1.2847222222222223,1.1666666666666667,1562.336,607.8778625954199,1.0,2900.0,12.0
Portage Bay,98102,357.75,5.0,,77.0,78.375,8579.25,1.125,1.0,1707.75,461.625,1.0,500.0,
Queen Anne,98109,252.83783783783784,4.166666666666667,2.0,68.86486486486487,68.83783783783784,6460.2972972972975,1.5405405405405406,1.3783783783783783,2445.4,848.6081081081081,1.0,1180.0,12.0
Queen Anne,98119,392.3478260869565,,2.0,72.26086956521739,57.91304347826087,8265.826086956522,1.608695652173913,1.2173913043478262,2177.842105263158,862.1363636363636,1.0,1353.75,9.25
