,Unnamed: 0,propertyName,bedRoomType,bedRoomNumber,baths,rent,sqft,availability,deposit,unit,leaseLength,name,new,applyNow,street,city,state,zipCode,neighborhood,reviewScore,reviewCount,walkScore,transitScore,predictedRent,rentDiff
9594,9594,8801 Aurora Ave N Unit 19,Traditional,5,3.0,750,1800.0,1,400,19,1,,,Request To Apply,8801 Aurora Ave N Unit 19,Seattle,WA,98103,Greenwood,0,0,87,57,4871.31303327364,-4121.31303327364
9657,9657,6244 25th Ave NE,Traditional,6,4.0,4000,3000.0,1,4000,,0,,,Request To Apply,6244 25th Ave NE,Seattle,WA,98115,Seattle,0,0,81,59,8118.39291182248,-4118.39291182248
10344,10344,"4 br, 3 bath House - 10044 46TH PL NE",Traditional,4,3.0,3850,3380.0,1,0,,0,,,,10044 46th Pl NE,Seattle,WA,98125,Lake City,0,0,19,41,7421.249722108592,-3571.2497221085923
10150,10150,5134 S Fountain St,Traditional,3,2.0,2500,2600.0,1,0,,0,,,,5134 S Fountain St,Seattle,WA,98178,Bryn Mawr-Skyway,0,0,9,42,5498.881581947353,-2998.881581947353
10632,10632,"6 br, 3 bath House - 12705 27th Ave NE",Traditional,6,3.0,3150,2400.0,1,0,,0,,,,12705 27th Ave NE,Seattle,WA,98125,Lake City,0,0,88,60,6107.048474037288,-2957.0484740372876
10065,10065,Gorgeous Whittier Craftsman,Traditional,3,2.0,3795,2720.0,1,0,,0,,,,7017 12th Ave NW,Seattle,WA,98117,Whittier Heights,0,0,86,50,6716.67174752821,-2921.6717475282103
10238,10238,3849 Woodlawn Ave N,Traditional,3,2.0,2995,2020.0,1,0,,0,,,,3849 Woodlawn Ave N,Seattle,WA,98103,Wallingford,0,0,87,63,5859.836353702985,-2864.8363537029854
9921,9921,5800 46th Ave S,Traditional,2,2.5,2695,1960.0,1,0,,0,,,,5800 46th Ave S,Seattle,WA,98118,Columbia City,0,0,78,52,5255.101200397897,-2560.1012003978967
8466,8466,Nolan and Nora,Traditional,5,3.0,1307,1119.0,0,0,,0,NOLAN 5 Bed/3 Bath Terrace - Master Premium,,,4717 Brooklyn Ave NE,Seattle,WA,98105,University District,5,0,99,80,3737.890340888121,-2430.890340888121
9718,9718,2004 Dexter Ave N Unit 107,Traditional,2,2.0,2000,1500.0,1,1500,107,12,,,,2004 Dexter Ave N Unit 107,Seattle,WA,98109,Westlake,0,0,70,69,4306.217404015095,-2306.217404015095
