neighborhood,sqft2rent
Alki,0.413517512202043
Arbor Heights,0.5532580502255138
Atlantic,0.31184419213535486
Ballard,0.31595687959662916
Beacon Hill,0.4715339397144362
Belltown,0.2983893765425933
Bitter Lake,0.48037722287575935
Briarcliff,0.5468025949953661
Brighton,0.3590452342974257
Broadview,0.4668078837410133
Bryant,0.43461154086276804
Bryn Mawr-Skyway,0.5734547616761916
Capitol Hill,0.28171558689086673
Central Seattle,0.3259827895963622
Chinatown,0.26079327994496754
Columbia City,0.3311719801082365
Crown Hill,0.44024980872179736
Denny Triangle,0.2737653610413549
Downtown Seattle,0.3077355312644795
Dunlap,0.6560525892554667
Eastlake,0.27364497325918336
Fairmount Park,0.3798698113267696
Fauntleroy,0.6735294117647059
First Hill,0.3137751239786606
Fremont,0.32135338491520943
Gatewood,0.6666666666666666
Genesee,0.35791802429941144
Georgetown,0.5014612195368591
Green Lake,0.336638931655952
Greenwood,0.4117871404719543
Haller Lake,0.5332892824104665
Harrison/Denny Blaine,0.35294117647058826
High Point,0.45293652000092116
Highland Park,0.46587458703882334
Highline,0.5206298750208581
Interbay,0.3608305012540568
Junction,0.3773046310366907
Lake City,0.4481146066877184
Lake Union,0.30315148419883403
Laurelhurst,
Lawton Park,0.4500112141264788
Leschi,0.4070247933884298
Lower Queen Anne,0.271386177182359
Loyal Heights,0.2735375669412465
Madison Park,0.302957536853494
Magnolia,0.48606160018944083
Mann,0.1855278263384117
Maple Leaf,0.3682771480018509
Minor,0.32361733302523094
Mt Baker,0.46152041391417054
North Admiral,0.328741083111487
North Beach/ Blue Ridge,0.5899705014749262
North Beacon Hill,0.33321018036207234
North College Park,0.4857021935036958
North Delridge,0.40335500782427797
Phinney Ridge,0.47543031489263715
Pike Place Market,0.2581596485536621
Pinehurst,0.45196157327231884
Pioneer Square,0.3902490513461844
Portage Bay,0.26778681032975793
Queen Anne,0.3648230492211874
Rainier Beach,0.30564959796868385
Ravenna,0.3548562203675372
Renton,0.5368077778513157
Riverview,0.5583198555117682
Roosevelt,0.24805445729294245
Roxhill,0.3580948447141576
Seatac,0.5400770197985599
Seattle,0.3639067477665912
Seaview Seattle,0.48121730860675227
Seward Park,0.430952380952381
Sheridan Beach,0.49455977351121305
Shoreline,0.4653817481012699
South Delridge,0.47606545957578256
South Lake Union,0.27648149738106653
South Park,0.3763440860215054
Southern Heights-Boulevard Park,0.5176123537932641
Stevens,0.26168678214619634
Tukwila Urban Center,0.33423915264130777
University District,0.3085701256028631
Wallingford,0.3004886946252591
Wedgewood,0.21322030552827886
West Seattle,0.3689423296065762
West Woodland,0.3812660905742027
Westlake,0.32214087179296946
White Center,0.6043417355503551
Whittier Heights,0.36155523748888
